,unmasked_text,masked_text,phone_number,target
10,"Maritza, your cognitive therapy session at Rogahn and Sons is ready and will start by 10:17 on 1923-05-03T04:03:52.028Z. Send a confirmation email back to Myrtis.Sanford40@hotmail.com or call us at 059.028.7703. Required payment is $359955.37.","[FIRSTNAME_1], your cognitive therapy session at [COMPANYNAME_1] is ready and will start by [TIME_1] on [DATE_1]. Send a confirmation email back to [EMAIL_1] or call us at [PHONENUMBER_1]. Required payment is $[AMOUNT_1].",059.028.7703,TEL
11,"I, Aimee Thompson, would like to access the Educational Funds. Account Name: Auto Loan Account, Account Number: 03885110. Requested Amount: лв714k. You can reach me back at Sheldon_Oberbrunner62@hotmail.com or call me on 0650 43225028.","I, [FIRSTNAME_1] [LASTNAME_1], would like to access the Educational Funds. Account Name: [ACCOUNTNAME_1], Account Number: [ACCOUNTNUMBER_1]. Requested Amount: [CURRENCYSYMBOL_1][AMOUNT_1]. You can reach me back at [EMAIL_1] or call me on [PHONENUMBER_1].",0650 43225028,O
12,"We detected an unusual sign-in activity on your account from the IP address 117.32.97.183. If you didn't sign in recently, please reset your password 7V4VYVBt5Uow and contact us at 0085.15186770.","We detected an unusual sign-in activity on your account from the IP address [IPV4_1]. If you didn't sign in recently, please reset your password [PASSWORD_1] and contact us at [PHONENUMBER_1].",0085.15186770,O
13,"Healthcare in Gillianville continues to improve with the introduction of new technologies. For details, contact Gage76@hotmail.com or call at +690 009 434.5621.","Healthcare in [CITY_1] continues to improve with the introduction of new technologies. For details, contact [EMAIL_1] or call at [PHONENUMBER_1].",+690 009 434.5621,O
14,"Russel, we found your details for market study for Phyllisfort. Eager to connect. Please reach us at 05-0281.1963.","[LASTNAME_1], we found your details for market study for [CITY_1]. Eager to connect. Please reach us at [PHONENUMBER_1].",05-0281.1963,O
15,Latest endocrine data on for 76 years old old Agender group. Something doesn't add up. Can discuss in detail at +763.893-121-5811.,Latest endocrine data on for [AGE_1] old [GENDER_1] group. Something doesn't add up. Can discuss in detail at [PHONENUMBER_1].,+763.893-121-5811,O
16,"For next week's topic about SEL in Nova Scotia, Arden - a member from 43663 will be sharing his pointers. Correspondence can be sent to +341.735-237.5546.","For next week's topic about SEL in [STATE_1], [MIDDLENAME_1] - a member from [ZIPCODE_1] will be sharing his pointers. Correspondence can be sent to [PHONENUMBER_1].",+341.735-237.5546,O
17,"A Intersex person patient from 77970 filed a complaint against O'Hara for negligence during an emergency. Insurance account: Checking Account, number: 81653425. To resolve this, contact Mose Sasha Stroman at 039-9193612.","A [GENDER_1] patient from [ZIPCODE_1] filed a complaint against [LASTNAME_1] for negligence during an emergency. Insurance account: [ACCOUNTNAME_1], number: [ACCOUNTNUMBER_1]. To resolve this, contact [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_2] at [PHONENUMBER_1].",039-9193612,O
18,"Mrs. Breitenberg, your age 7 years old may affect your eligibility to compete under Neuchâtel laws. Confirm your DOB (02/06/1921) and discuss with our attorneys. Contact 05240-311850 or Giovanna.Wiza62@yahoo.com.","[PREFIX_1] [LASTNAME_1], your age [AGE_1] may affect your eligibility to compete under [STATE_1] laws. Confirm your DOB ([DOB_1]) and discuss with our attorneys. Contact [PHONENUMBER_1] or [EMAIL_1].",05240-311850,O
19,"Hello Mathilde, I understand you offer tutoring for Biology. It's one subject I’m really struggling with and would like some help. Can you please text me on 02.4037 6947?","Hello [FIRSTNAME_1], I understand you offer tutoring for Biology. It's one subject I’m really struggling with and would like some help. Can you please text me on [PHONENUMBER_1]?",02.4037 6947,O
20,"Dear Sir/Madam, I, Annamae, am writing to express my interest in the internship program that you are offering. I have skills and qualifications suited for the role and am interested in applying. Please reach me on +72-175-424-5866 or Iva_Volkman-Upton@yahoo.com.","Dear Sir/Madam, I, [FIRSTNAME_1], am writing to express my interest in the internship program that you are offering. I have skills and qualifications suited for the role and am interested in applying. Please reach me on [PHONENUMBER_1] or [EMAIL_1].",+72-175-424-5866,TEL
21,A health service user from The Spinney contacted us concerning the need for a homecare service for his elderly mother. We can find detailed information by calling this number 06.3603 7980.,A health service user from [STREET_1] contacted us concerning the need for a homecare service for his elderly mother. We can find detailed information by calling this number [PHONENUMBER_1].,06.3603 7980,O
22,"Reminder: Mrs. Samantha Blake Purdy-Kautzer, your geriatric medicine appointment is due on 11/89 at 00. Please confirm by calling us on +394.20.304.6558.","Reminder: [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1], your geriatric medicine appointment is due on [DATE_1] at [TIME_1]. Please confirm by calling us on [PHONENUMBER_1].",+394.20.304.6558,O
23,Good news for all Male aged 50 and up in Washington County! Free vaccinations now available! Contact +60 219.924 4892 for further details.,Good news for all [SEX_1] aged 50 and up in [COUNTY_1]! Free vaccinations now available! Contact [PHONENUMBER_1] for further details.,+60 219.924 4892,TEL
24,"The cost for the upcoming sessions is $0.0b. Payment should be made through account number 30815316 named under Checking Account. If experiencing difficulties, please contact our team using the number +02.669 882-9885.","The cost for the upcoming sessions is [CURRENCYSYMBOL_1][AMOUNT_1]. Payment should be made through account number [ACCOUNTNUMBER_1] named under [ACCOUNTNAME_1]. If experiencing difficulties, please contact our team using the number [PHONENUMBER_1].",+02.669 882-9885,TEL
25,"Perplexing endocrine trends seen in the 26 years old demographic, particularly Intersex person. For a urgent chat, dial +792 879 628.1980.","Perplexing endocrine trends seen in the [AGE_1] demographic, particularly [GENDER_1]. For a urgent chat, dial [PHONENUMBER_1].",+792 879 628.1980,O
26,"Dear Miss Terry, the recent results from your oncology tests are inconclusive. We request another appointment. Contact 01485-42224 or reach out at Paula_Price25@yahoo.com.","Dear [PREFIX_1] [LASTNAME_1], the recent results from your oncology tests are inconclusive. We request another appointment. Contact [PHONENUMBER_1] or reach out at [EMAIL_1].",01485-42224,O
27,"This is an automated safety notification from Rodriguez, Roob and Pfannerstill. We recently detected a breach in cybersafety. All personnel are advised to update their passwords. Contact us at 042 897-2938 or Edison_Breitenberg-Waelchi@hotmail.com if help needed.",This is an automated safety notification from [COMPANYNAME_1]. We recently detected a breach in cybersafety. All personnel are advised to update their passwords. Contact us at [PHONENUMBER_1] or [EMAIL_1] if help needed.,042 897-2938,O
28,"Good day, Tremaine. Your medical devices order have been dispatched and are in transit. You will receive them at Manor Close, Thousand Oaks on 15/08/1950. Total billed: $50.91k. Please call us at 09-6454-0133 if you need any assistance.","Good day, [FIRSTNAME_1]. Your medical devices order have been dispatched and are in transit. You will receive them at [STREET_1], [CITY_1] on [DATE_1]. Total billed: [CURRENCYSYMBOL_1][AMOUNT_1]. Please call us at [PHONENUMBER_1] if you need any assistance.",09-6454-0133,O
29,"Wava Heller, your medications have been shipped, and is expected to reach your mailing address in South Cortezmouth tomorrow evening at around 1:51pm. Should you have any questions, please don’t hesitate to contact us at 0819.50977252.","[FIRSTNAME_1] [LASTNAME_1], your medications have been shipped, and is expected to reach your mailing address in [CITY_1] tomorrow evening at around [TIME_1]. Should you have any questions, please don’t hesitate to contact us at [PHONENUMBER_1].",0819.50977252,O
30,"Hey Ryan, We're in need of volunteers for our upcoming library book sale. Reserve your spot online or call me at 084.945-6140. Remember to enter the pin: 1835.","Hey [MIDDLENAME_1], We're in need of volunteers for our upcoming library book sale. Reserve your spot online or call me at [PHONENUMBER_1]. Remember to enter the pin: [PIN_1].",084.945-6140,O
31,"Dear Jane, our secure platform is available 24/7 for scheduling appointments, making payments and tracking your progress. Access it through this link https://colossal-mallet.info/. We recommend using a secure device and connection, if you suspect unauthorised access at any time please call us on (751).3570844.","Dear [FIRSTNAME_1], our secure platform is available 24/7 for scheduling appointments, making payments and tracking your progress. Access it through this link [URL_1]. We recommend using a secure device and connection, if you suspect unauthorised access at any time please call us on [PHONENUMBER_1].",(751).3570844,O
32,Hi there! Please note that Ima has called earlier today. Phone number is +88 25.414.2428. She mentioned about some personal crisis. Let's discuss it in today's meeting.,Hi there! Please note that [FIRSTNAME_1] has called earlier today. Phone number is [PHONENUMBER_1]. She mentioned about some personal crisis. Let's discuss it in today's meeting.,+88 25.414.2428,O
33,"Dear Mr. Heathcote, here's confirmation of cognitive therapy session at 4169 Reese Shoal, Hialeah, South West England, 66274, scheduled at 2:37 PM on 20/05/1979. Call +36 92 103.0811 for changes. Charge will be ₨0.0008b","Dear [PREFIX_1] [LASTNAME_1], here's confirmation of cognitive therapy session at [BUILDINGNUMBER_1] [STREET_1], [CITY_1], [STATE_1], [ZIPCODE_1], scheduled at [TIME_1] on [DATE_1]. Call [PHONENUMBER_1] for changes. Charge will be [CURRENCYSYMBOL_1][AMOUNT_1]",+36 92 103.0811,O
34,"Hi Coy, Weber - Jaskolski is moving their office to Rapid City, Arizona. Can you give us your Eddie_Schuster91@gmail.com and contact 08186-081440 to update our records?","Hi [FIRSTNAME_1], [COMPANYNAME_1] is moving their office to [CITY_1], [STATE_1]. Can you give us your [EMAIL_1] and contact [PHONENUMBER_1] to update our records?",08186-081440,O
35,"Can you schedule a session with Dr.ZackaryGoodwin around evening at 5032, 2nd street? Please confirm via message to my number 0501.03490539.","Can you schedule a session with [PREFIX_1][FIRSTNAME_1][LASTNAME_1] around evening at [BUILDINGNUMBER_1], 2nd street? Please confirm via message to my number [PHONENUMBER_1].",0501.03490539,O
36,"Dear Nola Schmidt, for the online purchase of medical equipment, your CC visa ending in 3864307089649494 was charged Php695648.09 . For queries, reply to this Wilton80@yahoo.com or contact phone 05-92.31 48.66.","Dear [FIRSTNAME_1] [LASTNAME_1], for the online purchase of medical equipment, your CC [CREDITCARDISSUER_1] ending in [CREDITCARDNUMBER_1] was charged [CURRENCYSYMBOL_1][AMOUNT_1] . For queries, reply to this [EMAIL_1] or contact phone [PHONENUMBER_1].",05-92.31 48.66,O
37,"""The Zurich library invites you to a workshop on 'How to develop reading habits in kids.' Confirm your spot via 05782 78073""","""The [STATE_1] library invites you to a workshop on 'How to develop reading habits in kids.' Confirm your spot via [PHONENUMBER_1]""",05782 78073,TEL
38,"Hey Madisyn, based on your latest medical research article, I'd like to discuss a few points. Could we set up a call at 26/01/1989 on your +41-844-136.5881?","Hey [FIRSTNAME_1], based on your latest medical research article, I'd like to discuss a few points. Could we set up a call at [DOB_1] on your [PHONENUMBER_1]?",+41-844-136.5881,TEL
39,"To Katelyn_Marvin's legal team, awaiting documents regarding his contract termination. Please respond at Adelia29@yahoo.com or call us directly at (67)-7505 4199.","To [USERNAME_1]'s legal team, awaiting documents regarding his contract termination. Please respond at [EMAIL_1] or call us directly at [PHONENUMBER_1].",(67)-7505 4199,O
40,"Meet our new ICU Corporate Operations Assistant, Harmony Volkman. He is joining us from Nunavut and has a keen interest in improving the quality of ICU patient care. You can reach him at phone number +68.820-889 5772.","Meet our new ICU Corporate Operations Assistant, [FIRSTNAME_1] [LASTNAME_1]. He is joining us from [STATE_1] and has a keen interest in improving the quality of ICU patient care. You can reach him at phone number [PHONENUMBER_1].",+68.820-889 5772,TEL
41,Important Debate Club meeting on 07/09/1916. Everyone including Miller is invited. Contact 0160-61302676 for queries.,Important Debate Club meeting on [DATE_1]. Everyone including [FIRSTNAME_1] is invited. Contact [PHONENUMBER_1] for queries.,0160-61302676,O
42,Online safety should be a priority. Never give your 086 6723411 to websites without secure (https) URLs. This protects your 11.34.216.125 and 2541:b6de:ebfb:dbdf:5be1:4465:916b:a8ef from being tracked.,Online safety should be a priority. Never give your [PHONENUMBER_1] to websites without secure (https) URLs. This protects your [IPV4_1] and [IPV6_1] from being tracked.,086 6723411,TEL
43,"We need 211.211.51.194, 1tGDLs49cGkX5EgPbkgAMMoZCZqozjq5ehkG, 75646286321 for classroom management. The 28/03/1936 deadline fast approaches, use 05-0754 7409 for any urgent questions. Get Male's ward to finalize.","We need [IPV4_1], [BITCOINADDRESS_1], [SSN_1] for classroom management. The [DOB_1] deadline fast approaches, use [PHONENUMBER_1] for any urgent questions. Get [SEX_1]'s ward to finalize.",05-0754 7409,O
44,"According to the latest reports, Nyah.Johnson's behaviour has improved. The student's parents have been notified via contacted number 041.6655410.","According to the latest reports, [USERNAME_1]'s behaviour has improved. The student's parents have been notified via contacted number [PHONENUMBER_1].",041.6655410,O
45,"The palliative care team will be available at Montgomery County district for post-hospitalization follow-up for patients. To schedule a visit, call the team on 0329.71863379.","The palliative care team will be available at [COUNTY_1] district for post-hospitalization follow-up for patients. To schedule a visit, call the team on [PHONENUMBER_1].",0329.71863379,O
46,"Hi team, It's been noticed that the Female patient with green eyes and 1.52 m height shows significant mindset patterns. For detailed report, contact me via 0403.38841464 or email, please provide your jsnJnAronaZl for confidential access.","Hi team, It's been noticed that the [SEX_1] patient with green eyes and [HEIGHT_1] height shows significant mindset patterns. For detailed report, contact me via [PHONENUMBER_1] or email, please provide your [PASSWORD_1] for confidential access.",0403.38841464,O
47,"Mrs. Yundt, the age for the scored 'Grade A' in the last assessment was mostly 19. Do we have data for this current assessment? Contact me at 033-7678-7555.","[PREFIX_1] [LASTNAME_1], the age for the scored 'Grade A' in the last assessment was mostly [AGE_1]. Do we have data for this current assessment? Contact me at [PHONENUMBER_1].",033-7678-7555,O
48,Notification: Your immigration process in Pennsylvania is progressing. The next step requires your Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/4.1) info for online forms. Please also confirm your 037 888.1311 is still active.,Notification: Your immigration process in [STATE_1] is progressing. The next step requires your [USERAGENT_1] info for online forms. Please also confirm your [PHONENUMBER_1] is still active.,037 888.1311,O
49,"As part of our outdoor education program, we're heading over to Alabama. This will be a fantastic opportunity for your kid to learn about different cultures. Any concerns? Reach us at +221 376 831-7323.","As part of our outdoor education program, we're heading over to [STATE_1]. This will be a fantastic opportunity for your kid to learn about different cultures. Any concerns? Reach us at [PHONENUMBER_1].",+221 376 831-7323,O
50,"Our new student wellbeing portal is now active at https://similar-shield.biz. It's designed to provide students with the support they need. Please make sure this is shared among all students. Contact Kris.Barton37@gmail.com or 047-467.2401 for further info. Best, Adah","Our new student wellbeing portal is now active at [URL_1]. It's designed to provide students with the support they need. Please make sure this is shared among all students. Contact [EMAIL_1] or [PHONENUMBER_1] for further info. Best, [FIRSTNAME_1]",047-467.2401,O
51,Looking for volunteers for the literacy drive on 25/11/2017. Interested individuals can contact Kaelyn at (00).0673.5148.,Looking for volunteers for the literacy drive on [DATE_1]. Interested individuals can contact [FIRSTNAME_1] at [PHONENUMBER_1].,(00).0673.5148,O
52,"Our occupational therapist specifically focusing on Functionality tasks, would like to have a conversation with you. You can contact them at +993-816-282-5114.","Our occupational therapist specifically focusing on [JOBAREA_1] tasks, would like to have a conversation with you. You can contact them at [PHONENUMBER_1].",+993-816-282-5114,O
53,"Hi Female to male transgender man, confirming your preventive visit at 10 AM on 9/02 at Janelle Highway, 08927. Contact at (824) 5106361 for any changes.","Hi [GENDER_1], confirming your preventive visit at [TIME_1] on [DATE_1] at [STREET_1], [ZIPCODE_1]. Contact at [PHONENUMBER_1] for any changes.",(824) 5106361,O
54,We've noticed that an unknown device (58:a8:ab:33:c2:6a) is accessing our e-learning platform from the Northwest lab. Please contact the administration at +49 668.953 6056.,We've noticed that an unknown device ([MAC_1]) is accessing our e-learning platform from the [ORDINALDIRECTION_1] lab. Please contact the administration at [PHONENUMBER_1].,+49 668.953 6056,TEL
55,"A gentle reminder to all staff: please ensure your computers are up-to-date and secure. If you find any suspicious activities. Please notify our IT department at Davis, Kozey and Gulgowski by calling them on 6456-595 7197.",A gentle reminder to all staff: please ensure your computers are up-to-date and secure. If you find any suspicious activities. Please notify our IT department at [COMPANYNAME_1] by calling them on [PHONENUMBER_1].,6456-595 7197,TEL
56,"Hey Brisa, the due payment 0.0b for the test will be processed shortly from 4942353807752961 . Contact us on +859 719 919.5279 for any assistance.","Hey [FIRSTNAME_1], the due payment [AMOUNT_1] for the test will be processed shortly from [CREDITCARDNUMBER_1] . Contact us on [PHONENUMBER_1] for any assistance.",+859 719 919.5279,O
57,"Literacy Program: 04/09/1924 | 3 PM | North Sharon Center. Interested individuals, contact Ignacio_Yost@gmail.com or 029 427 5026.","Literacy Program: [DATE_1] | [TIME_1] | [CITY_1] Center. Interested individuals, contact [EMAIL_1] or [PHONENUMBER_1].",029 427 5026,TEL
58,Regarding property dispute in Macon-Bibb County. Contact Giles Hammes at 041-2861629 for more details.,Regarding property dispute in [CITY_1]. Contact [FIRSTNAME_1] [LASTNAME_1] at [PHONENUMBER_1] for more details.,041-2861629,O
59,"Patient Kirsten has an appointment booked for January 31, 1921. They have remaining items in the account number: 22226229 and SSN: 75631404431. Please arrange payments. Call us at 0401-90410497 for more details.",Patient [FIRSTNAME_1] has an appointment booked for [DATE_1]. They have remaining items in the account number: [ACCOUNTNUMBER_1] and SSN: [SSN_1]. Please arrange payments. Call us at [PHONENUMBER_1] for more details.,0401-90410497,O
60,"Hi, Mrs. Bartoletti. Do you have a moment to share your ideas on improving our extracurricular activities? Please give me a call at (686)-5913297.","Hi, [PREFIX_1] [LASTNAME_1]. Do you have a moment to share your ideas on improving our extracurricular activities? Please give me a call at [PHONENUMBER_1].",(686)-5913297,O
61,We would like to discuss the details of your 75662413449 plan. We are available on +551-89 395 1408 for any discussions.,We would like to discuss the details of your [SSN_1] plan. We are available on [PHONENUMBER_1] for any discussions.,+551-89 395 1408,O
62,"Urgent! The Spinney franchisee, Kai, your M3HTCL1LKKNH56478 reported for violation. Contact at 06.3603 7980 using PIN 5535.","Urgent! [STREET_1] franchisee, [MIDDLENAME_1], your [VEHICLEVIN_1] reported for violation. Contact at [PHONENUMBER_1] using PIN [PIN_1].",06.3603 7980,O
63,"25/03/1935: Mrs. Von, we noticed some unusual activity related to your Investment Account from IP: 185.151.141.12. Please contact us immediately at (39).8812.6004.","[DATE_1]: [PREFIX_1] [LASTNAME_1], we noticed some unusual activity related to your [ACCOUNTNAME_1] from IP: [IPV4_1]. Please contact us immediately at [PHONENUMBER_1].",(39).8812.6004,O
64,Sponsorship deal between Porter_Ryan87 and Boyer and Sons needs renewal. Likely contention points identified. Update soon at Norberto_Okuneva@gmail.com or call our office directly at 09.9812 5333.,Sponsorship deal between [USERNAME_1] and [COMPANYNAME_1] needs renewal. Likely contention points identified. Update soon at [EMAIL_1] or call our office directly at [PHONENUMBER_1].,09.9812 5333,O
65,"Confidential patient update: Nellie.OKon's condition is improving under our intensive care unit. Daily updates are being sent to Trace_Heaney66@hotmail.com. For detailed overview, contact Product Security Administrator Streich-Heathcote at 082-8429007.","Confidential patient update: [USERNAME_1]'s condition is improving under our intensive care unit. Daily updates are being sent to [EMAIL_1]. For detailed overview, contact [JOBTITLE_1] [LASTNAME_1] at [PHONENUMBER_1].",082-8429007,O
66,"Hello Albin, the account, Savings Account with number: 49941317, has issues with the most recent payment. Kindly get back to us at 04861-69141.","Hello [FIRSTNAME_1], the account, [ACCOUNTNAME_1] with number: [ACCOUNTNUMBER_1], has issues with the most recent payment. Kindly get back to us at [PHONENUMBER_1].",04861-69141,O
67,"I'd like to invite you to our Positive Psychology meetup on 1988-08-12T22:11:38.449Z. We are holding it at Nikita Pass, Fort Cordellboro, 43622-9322. Hoping to see you there. You can RSVP at https://spicy-methane.biz or call us at 00036.32706. Thank you.","I'd like to invite you to our Positive Psychology meetup on [DATE_1]. We are holding it at [STREET_1], [CITY_1], [ZIPCODE_1]. Hoping to see you there. You can RSVP at [URL_1] or call us at [PHONENUMBER_1]. Thank you.",00036.32706,O
68,"Dear team, we've implemented some new change management procedures at Purdy, Spencer and Hoeger. If there are any queries or concerns, feel free to reach me at +19 20 001 0477 or drop a mail at Jalen_Leannon@gmail.com.","Dear team, we've implemented some new change management procedures at [COMPANYNAME_1]. If there are any queries or concerns, feel free to reach me at [PHONENUMBER_1] or drop a mail at [EMAIL_1].",+19 20 001 0477,O
69,"Hi, Lucienne! We are extremely happy to have you join our Humanistic Therapy sessions. To get started, sign up at https://agile-violation.biz using your username Jayde.Towne. Should you need any help, feel free to email us at Joannie44@hotmail.com or call +63 443-312 0646.","Hi, [FIRSTNAME_1]! We are extremely happy to have you join our Humanistic Therapy sessions. To get started, sign up at [URL_1] using your username [USERNAME_1]. Should you need any help, feel free to email us at [EMAIL_1] or call [PHONENUMBER_1].",+63 443-312 0646,TEL
70,"Encountered some endocrine issues with our 39 years group, particularly the Trans woman. Dial 007 610.2862, need to discuss.","Encountered some endocrine issues with our [AGE_1] group, particularly the [GENDER_1]. Dial [PHONENUMBER_1], need to discuss.",007 610.2862,O
71,"Dear Baron.Turner, received your feedback on our telemed system about data confidentiality (92-414976-943662-5, 04 60.65-06.91). I concur with you. We need to chat with our IT Internal Applications Planner addressing this concern. How about a quick Zoom call on January 14, 1929?","Dear [USERNAME_1], received your feedback on our telemed system about data confidentiality ([PHONEIMEI_1], [PHONENUMBER_1]). I concur with you. We need to chat with our IT [JOBTITLE_1] addressing this concern. How about a quick Zoom call on [DATE_1]?",04 60.65-06.91,O
72,"Secured 23.11.128.40, 3UoVs2cxwqDbJZFFTvbxhXHWvKMxi7gzT, 445 90 4635 for classroom management of Investment Account. Plan expected completion by 1966-01-05T16:58:54.051Z, updates required by 26662-2996. 00 67.92.13 84 as primary contact. Male student's parents to sign off. Use Suite 881 as drop-off if necessary.","Secured [IPV4_1], [BITCOINADDRESS_1], [SSN_1] for classroom management of [ACCOUNTNAME_1]. Plan expected completion by [DOB_1], updates required by [ZIPCODE_1]. [PHONENUMBER_1] as primary contact. [SEX_1] student's parents to sign off. Use [SECONDARYADDRESS_1] as drop-off if necessary.",00 67.92.13 84,O
