Unnamed: 0,unmasked_text,masked_text,privacy_mask,bio_labels
212,"Hey Male, help needed for updating our career counseling module. We're trying to implement new features, need your Direct Creative Developer skills. Reachable on +277-17 741-2407. Thanks!","Hey [SEX_1], help needed for updating our [ORGANIZATION_1]. We're trying to implement new features, need your [JOBTITLE_1] skills. Reachable on [PHONENUMBER_1]. Thanks!","{'[SEX_1]': 'Male', '[ORGANIZATION_1]': 'career counseling module', '[JOBTITLE_1]': 'Direct Creative Developer', '[PHONENUMBER_1]': '+277-17 741-2407'}","['O', 'B-SEX_1', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-JOBTITLE_1', 'I-JOBTITLE_1', 'I-JOBTITLE_1', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O']"
213,"If any parent in 57905-8325 is involved in Science, Technology, Engineering, Art, and Math (STEAM) and wish to present a discussion/workshop, please call 07-27-75 07.37. Participation will be honored with Turkish Lira tokens. If your child suffers from asthma, please let us know.","If any parent in [ZIPCODE_1] is involved in [ORGANIZATION_1] and wish to present a discussion/workshop, please call [PHONENUMBER_1]. Participation will be honored with [CURRENCYNAME_1] tokens. If your child suffers from [MEDICAL_1], please let us know.","{'[ZIPCODE_1]': '57905-8325', '[ORGANIZATION_1]': 'Science, Technology, Engineering, Art, and Math (STEAM)', '[PHONENUMBER_1]': '07-27-75 07.37', '[CURRENCYNAME_1]': 'Turkish Lira', '[MEDICAL_1]': 'asthma'}","['O', 'O', 'O', 'O', 'B-ZIPCODE_1', 'O', 'O', 'O', 'B-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O', 'O', 'O', 'O', 'O', 'B-CURRENCYNAME_1', 'I-CURRENCYNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MEDICAL_1', 'O', 'O', 'O', 'O']"
214,"This concerns the property located in 8800 Adams Circle, Port Emanueltown. Contact Leta Leuschke at 03 06.10 91 67 for more details.","This concerns the property located in [BUILDINGNUMBER_1] [STREET_1], [CITY_1]. Contact [FIRSTNAME_1] [LASTNAME_1] at [PHONENUMBER_1] for more details.","{'[BUILDINGNUMBER_1]': '8800', '[STREET_1]': 'Adams Circle', '[CITY_1]': 'Port Emanueltown', '[FIRSTNAME_1]': 'Leta', '[LASTNAME_1]': 'Leuschke', '[PHONENUMBER_1]': '03 06.10 91 67'}","['O', 'O', 'O', 'O', 'O', 'O', 'B-BUILDINGNUMBER_1', 'B-STREET_1', 'I-STREET_1', 'B-CITY_1', 'I-CITY_1', 'O', 'B-FIRSTNAME_1', 'B-LASTNAME_1', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'I-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O', 'O', 'O']"
215,"To all our new Applications team members, welcome! Heart disease is a serious problem in the nation, so we are glad you are here to help. There is a training session on April 17, 1949. Don't forget to bring your employee ID card. For any queries regarding the session, contact us at 048.935-7623. Make sure to follow us on social media at heartdisease_prevention_US.","To all our new [JOBAREA_1] team members, welcome! [MEDICAL_1] is a serious problem in the nation, so we are glad you are here to help. There is a training session on [DOB_1]. Don't forget to bring your employee ID card. For any queries regarding the session, contact us at [PHONENUMBER_1]. Make sure to follow us on social media at [USERNAME_1].","{'[JOBAREA_1]': 'Applications', '[MEDICAL_1]': 'Heart disease', '[DOB_1]': 'April 17, 1949', '[PHONENUMBER_1]': '048.935-7623', '[USERNAME_1]': 'heartdisease_prevention_US'}","['O', 'O', 'O', 'O', 'B-JOBAREA_1', 'O', 'O', 'O', 'B-MEDICAL_1', 'I-MEDICAL_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DOB_1', 'I-DOB_1', 'I-DOB_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-USERNAME_1']"
216,"Dear Jazmin_Heaney5, your health account with Personal Loan Account is due for renewal by 11 PM. Kindly process it ASAP. Reach us at 09430-872476.","Dear [USERNAME_1], your health account with [ACCOUNTNAME_1] is due for renewal by [TIME_1]. Kindly process it ASAP. Reach us at [PHONENUMBER_1].","{'[USERNAME_1]': 'Jazmin_Heaney5', '[ACCOUNTNAME_1]': 'Personal Loan Account', '[TIME_1]': '11 PM', '[PHONENUMBER_1]': '09430-872476'}","['O', 'B-USERNAME_1', 'O', 'O', 'O', 'O', 'B-ACCOUNTNAME_1', 'I-ACCOUNTNAME_1', 'I-ACCOUNTNAME_1', 'O', 'O', 'O', 'O', 'O', 'B-TIME_1', 'I-TIME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1']"
217,"Dear Legacy Identity Engineer, We would like to discuss the new regulations in primary care protocols. Trying to reach you on your mobile number +219 182.608-4182. Please get back to us at your convenience.","Dear [JOBTITLE_1], We would like to discuss the new regulations in [MEDICAL_1] protocols. Trying to reach you on your mobile number [PHONENUMBER_1]. Please get back to us at your convenience.","{'[JOBTITLE_1]': 'Legacy Identity Engineer', '[MEDICAL_1]': 'primary care', '[PHONENUMBER_1]': '+219 182.608-4182'}","['O', 'B-JOBTITLE_1', 'I-JOBTITLE_1', 'I-JOBTITLE_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MEDICAL_1', 'I-MEDICAL_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
218,"Warren, please send me the finalized sales projections for next year. Send documents to my email Marta_Schuppe@yahoo.com. Call me later at (601) 2174515.","[FIRSTNAME_1], please send me the finalized sales projections for next year. Send documents to my email [EMAIL_1]. Call me later at [PHONENUMBER_1].","{'[FIRSTNAME_1]': 'Warren', '[EMAIL_1]': 'Marta_Schuppe@yahoo.com', '[PHONENUMBER_1]': '(601) 2174515'}","['B-FIRSTNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EMAIL_1', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1']"
219,Hello! Could you pass on these career choice resources to Amelie? He can be contacted at (978)-8155398. She’s looking to become an anesthesiologist who specializes in surgery patients.,Hello! Could you pass on these career choice resources to [FIRSTNAME_1]? He can be contacted at [PHONENUMBER_1]. She’s looking to become an [JOBTITLE_1] who specializes in [MEDICAL_1] patients.,"{'[FIRSTNAME_1]': 'Amelie', '[PHONENUMBER_1]': '(978)-8155398', '[JOBTITLE_1]': 'anesthesiologist', '[MEDICAL_1]': 'surgery'}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-FIRSTNAME_1', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'O', 'O', 'O', 'O', 'O', 'B-JOBTITLE_1', 'O', 'O', 'O', 'B-MEDICAL_1', 'O']"
220,I have a 77 years old parent who needs brain surgery. I am trying to understand the correct process. Could I get a call back on (536) 0314403 please?,I have a [AGE_1] old parent who needs [MEDICAL_1]. I am trying to understand the correct process. Could I get a call back on [PHONENUMBER_1] please?,"{'[AGE_1]': '77 years', '[MEDICAL_1]': 'brain surgery', '[PHONENUMBER_1]': '(536) 0314403'}","['O', 'O', 'O', 'B-AGE_1', 'I-AGE_1', 'O', 'O', 'O', 'O', 'B-MEDICAL_1', 'I-MEDICAL_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O']"
222,"Good day Arne Bruen. Here is a reminder for the cognitive therapy session you booked. It falls on 19/11/1965 at 7 PM and will take place at our facilities located at 6439, Abshire Flats, North Anjalitown. Send any inquiries to Adolfo_Klocko@yahoo.com or phone 00464-029923. Session cost is S593574.","Good day [FIRSTNAME_1] [LASTNAME_1]. Here is a reminder for the cognitive therapy session you booked. It falls on [DATE_1] at [TIME_1] and will take place at our facilities located at [BUILDINGNUMBER_1], [STREET_1], [CITY_1]. Send any inquiries to [EMAIL_1] or phone [PHONENUMBER_1]. Session cost is [CURRENCYSYMBOL_1][AMOUNT_1].","{'[FIRSTNAME_1]': 'Arne', '[LASTNAME_1]': 'Bruen', '[DATE_1]': '19/11/1965', '[TIME_1]': '7 PM', '[BUILDINGNUMBER_1]': '6439', '[STREET_1]': 'Abshire Flats', '[CITY_1]': 'North Anjalitown', '[EMAIL_1]': 'Adolfo_Klocko@yahoo.com', '[PHONENUMBER_1]': '00464-029923', '[CURRENCYSYMBOL_1]': '', '[AMOUNT_1]': 'S593574'}","['O', 'O', 'B-FIRSTNAME_1', 'B-LASTNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE_1', 'O', 'B-TIME_1', 'I-TIME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BUILDINGNUMBER_1', 'B-STREET_1', 'I-STREET_1', 'B-CITY_1', 'I-CITY_1', 'O', 'O', 'O', 'O', 'B-EMAIL_1', 'O', 'O', 'B-PHONENUMBER_1', 'O', 'O', 'O','B-CURRENCYSYMBOL_1', 'B-AMOUNT_1']"
223,"Modify order DE67040994470010410096 to include product 7AyOICi2RTyH, if not in stock notify at 042-5541592.","Modify order [IBAN_1] to include product [PASSWORD_1], if not in stock notify at [PHONENUMBER_1].","{'[IBAN_1]': 'DE67040994470010410096', '[PASSWORD_1]': '7AyOICi2RTyH', '[PHONENUMBER_1]': '042-5541592'}","['O', 'O', 'B-IBAN_1', 'O', 'O', 'O', 'B-PASSWORD_1', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1']"
224,"Dear Miss Carroll, We, at Nikolaus - Witting, are happy to inform that an amount of ₭788866 as educational fund has been approved to your account 19457425. Should there be any queries, reach out at 05.95.65.36-80 or Lenna.Jast40@yahoo.com.","Dear [PREFIX_1] [LASTNAME_1], We, at [COMPANYNAME_1], are happy to inform that an amount of [CURRENCYSYMBOL_1][AMOUNT_1] as educational fund has been approved to your account [ACCOUNTNUMBER_1]. Should there be any queries, reach out at [PHONENUMBER_1] or [EMAIL_1].","{'[PREFIX_1]': 'Miss', '[LASTNAME_1]': 'Carroll', '[COMPANYNAME_1]': 'Nikolaus - Witting', '[CURRENCYSYMBOL_1]': '', '[AMOUNT_1]': '₭788866', '[ACCOUNTNUMBER_1]': '19457425', '[PHONENUMBER_1]': '05.95.65.36-80', '[EMAIL_1]': 'Lenna'}","['O', 'B-PREFIX_1', 'B-LASTNAME_1', 'O', 'O', 'B-COMPANYNAME_1', 'I-COMPANYNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CURRENCYSYMBOL_1', 'B-AMOUNT_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'O', 'B-EMAIL_1']"
225,"Please save the date - 4th December. Parents/ Teachers meet for Selina's class 19832-8300. For guidelines, contact 4995-601.5176. Selina will be on pregnancy leave soon, and she is getting a Cesarean section.","Please save the date - [DATE_1]. Parents/ Teachers meet for [FIRSTNAME_1]'s class [ZIPCODE_1]. For guidelines, contact [PHONENUMBER_1]. Selina will be on [MEDICAL_1] leave soon, and she is getting a [MEDICAL_1].","{'[DATE_1]': '4th December', '[FIRSTNAME_1]': 'Selina', '[ZIPCODE_1]': '19832-8300', '[PHONENUMBER_1]': '4995-601.5176', '[MEDICAL_1]': 'Cesarean section'}","['O', 'O', 'O', 'O', 'B-DATE_1', 'I-DATE_1', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ZIPCODE_1', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'B-FIRSTNAME_1', 'O', 'O', 'O', 'B-MEDICAL_1', 'I-MEDICAL_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
226,"Coding Club meeting 4th February at Apt. 880 invites Mateo, David and others. For more info, call +652.34.275.2397.","Coding Club meeting [DATE_1] at [SECONDARYADDRESS_1] invites [FIRSTNAME_1], [FIRSTNAME_1] and others. For more info, call [PHONENUMBER_1].","{'[DATE_1]': '4th February', '[SECONDARYADDRESS_1]': 'Apt. 880', '[FIRSTNAME_1]': 'David', '[PHONENUMBER_1]': '+652'}","['O', 'O', 'O', 'B-DATE_1', 'I-DATE_1', 'O', 'B-SECONDARYADDRESS_1', 'I-SECONDARYADDRESS_1', 'O', 'B-FIRSTNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1']"
227,"Dear Mr. Jerde, We are writing to inform you that Beahan - Rodriguez will be undergoing a merger with Lemke, Ebert and Dicki. Rest assured, your Credit Card Account with us, numbered 75723030, will not be impacted. Should you have questions, please contact us at 00280.74710.","Dear [PREFIX_1] [LASTNAME_1], We are writing to inform you that [COMPANYNAME_1] will be undergoing a merger with [COMPANYNAME_1]. Rest assured, your [ACCOUNTNAME_1] with us, numbered [ACCOUNTNUMBER_1], will not be impacted. Should you have questions, please contact us at [PHONENUMBER_1].","{'[PREFIX_1]': 'Mr.', '[LASTNAME_1]': 'Jerde', '[COMPANYNAME_1]': 'Lemke, Ebert and Dicki', '[ACCOUNTNAME_1]': 'Credit Card Account', '[ACCOUNTNUMBER_1]': '75723030', '[PHONENUMBER_1]': '00280'}","['O', 'B-PREFIX_1', 'B-LASTNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COMPANYNAME_1', 'I-COMPANYNAME_1', 'I-COMPANYNAME_1', 'I-COMPANYNAME_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ACCOUNTNAME_1', 'I-ACCOUNTNAME_1', 'I-ACCOUNTNAME_1', 'O', 'O', 'O', 'B-ACCOUNTNUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1']"
228,"A charge of P837124.05 was made on your account ending with 3825773419602352 from a new location. Please, contact us immediately at +43-13.979-7809 if you did not authorize this transaction.","A charge of [CURRENCYSYMBOL_1][AMOUNT_1] was made on your account ending with [MASKEDNUMBER_1] from a new location. Please, contact us immediately at [PHONENUMBER_1] if you did not authorize this transaction.","{'[CURRENCYSYMBOL_1]': '', '[AMOUNT_1]': 'P837124.05', '[MASKEDNUMBER_1]': '3825773419602352', '[PHONENUMBER_1]': '+43-13.979-7809'}","['O', 'O', 'O', 'B-CURRENCYSYMBOL_1', 'O', 'O', 'B-AMOUNT_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MASKEDNUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
229,"Exciting News! Mystery Reading Parent (MRP) program is launching. Parents from 27541-1712, interested in becoming MRPs, can call us at 061 197-6951. Your contribution is appreciated!","Exciting News! [ORGANIZATION_1] program is launching. Parents from [ZIPCODE_1], interested in becoming [JOBTITLE_1], can call us at [PHONENUMBER_1]. Your contribution is appreciated!","{'[ORGANIZATION_1]': 'Mystery Reading Parent (MRP)', '[ZIPCODE_1]': '27541-1712', '[JOBTITLE_1]': 'MRPs', '[PHONENUMBER_1]': '061 197-6951'}","['O', 'O', 'B-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'I-ORGANIZATION_1', 'O', 'O', 'O', 'O', 'O', 'B-ZIPCODE_1', 'O', 'O', 'O', 'B-JOBTITLE_1', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'O', 'O', 'O', 'O']"
230,Cardiologist Trey indicates urgent need for angiography. Please confirm procedure on the given 64-322554-414809-7 device. Contact our office at +77-76.506 3416.,[JOBTITLE_1] [FIRSTNAME_1] indicates urgent need for [MEDICAL_1]. Please confirm procedure on the given [PHONEIMEI_1] device. Contact our office at [PHONENUMBER_1].,"{'[JOBTITLE_1]': 'Cardiologist', '[FIRSTNAME_1]': 'Trey', '[MEDICAL_1]': 'angiography', '[PHONEIMEI_1]': '64-322554-414809-7', '[PHONENUMBER_1]': '+77-76'}","['B-JOBTITLE_1', 'B-FIRSTNAME_1', 'O', 'O', 'O', 'O', 'B-MEDICAL_1', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONEIMEI_1', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1']"
231,Patient with SSN: 774-52-7450 has a payment due. Please contact them at +94 960 869.0698.,Patient with SSN: [SSN_1] has a payment due. Please contact them at [PHONENUMBER_1].,"{'[SSN_1]': '774-52-7450', '[PHONENUMBER_1]': '+94 960 869'}","['O', 'O', 'O', 'B-SSN_1', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PHONENUMBER_1', 'I-PHONENUMBER_1', 'I-PHONENUMBER_1']"
232,Analyst to help with neuropsych research. Must be located in Fort Keaton. Contact 08140.276702.,[JOBTITLE_1] to help with [MEDICAL_1] research. Must be located in [CITY_1]. Contact [PHONENUMBER_1].,"{'[JOBTITLE_1]': 'Analyst', '[MEDICAL_1]': 'neuropsych', '[CITY_1]': 'Fort Keaton', '[PHONENUMBER_1]': '08140'}","['B-JOBTITLE_1', 'O', 'O', 'O', 'B-MEDICAL_1', 'O', 'O', 'O', 'O', 'O', 'B-CITY_1', 'I-CITY_1', 'O', 'B-PHONENUMBER_1']"
