,unmasked_text,masked_text
210,The schedule for the next Direct Web Manager corporate training is now available. Confirm your participation at 059.094.6968.,The schedule for the next [JOBTITLE_1] corporate training is now available. Confirm your participation at [PHONENUMBER_1].
211,"Dear Parent, for any concerns regarding your child's performance in the Mobility exams, contact our helpline at (824)-0449875 or drop by our office located at 54014-8602 Apt. 701, 42433.","Dear Parent, for any concerns regarding your child's performance in the [JOBAREA_1] exams, contact our helpline at [PHONENUMBER_1] or drop by our office located at [ZIPCODE_1] [SECONDARYADDRESS_1], [BUILDINGNUMBER_1]."
212,"Hey Male, help needed for updating our career counseling module. We're trying to implement new features, need your Direct Creative Developer skills. Reachable on +277-17 741-2407. Thanks!","Hey [SEX_1], help needed for updating our [ORGANIZATION_1]. We're trying to implement new features, need your [JOBTITLE_1] skills. Reachable on [PHONENUMBER_1]. Thanks!"
213,"If any parent in 57905-8325 is involved in Science, Technology, Engineering, Art, and Math (STEAM) and wish to present a discussion/workshop, please call 07-27-75 07.37. Participation will be honored with Turkish Lira tokens. If your child suffers from asthma, please let us know.","If any parent in [ZIPCODE_1] is involved in [ORGANIZATION_1] and wish to present a discussion/workshop, please call [PHONENUMBER_1]. Participation will be honored with [CURRENCYNAME_1] tokens. If your child suffers from [MEDICAL_1], please let us know."
214,"This concerns the property located in 8800 Adams Circle, Port Emanueltown. Contact Leta Leuschke at 03 06.10 91 67 for more details.","This concerns the property located in [BUILDINGNUMBER_1] [STREET_1], [CITY_1]. Contact [FIRSTNAME_1] [LASTNAME_1] at [PHONENUMBER_1] for more details."
215,"To all our new Applications team members, welcome! Heart disease is a serious problem in the nation, so we are glad you are here to help. There is a training session on April 17, 1949. Don't forget to bring your employee ID card. For any queries regarding the session, contact us at 048.935-7623. Make sure to follow us on social media at heartdisease_prevention_US.","To all our new [JOBAREA_1] team members, welcome! [MEDICAL_1] is a serious problem in the nation, so we are glad you are here to help. There is a training session on [DOB_1]. Don't forget to bring your employee ID card. For any queries regarding the session, contact us at [PHONENUMBER_1]. Make sure to follow us on social media at [USERNAME_1]."
216,"Dear Jazmin_Heaney5, your health account with Personal Loan Account is due for renewal by 11 PM. Kindly process it ASAP. Reach us at 09430-872476.","Dear [USERNAME_1], your health account with [ACCOUNTNAME_1] is due for renewal by [TIME_1]. Kindly process it ASAP. Reach us at [PHONENUMBER_1]."
217,"Dear Legacy Identity Engineer, We would like to discuss the new regulations in primary care protocols. Trying to reach you on your mobile number +219 182.608-4182. Please get back to us at your convenience.","Dear [JOBTITLE_1], We would like to discuss the new regulations in [MEDICAL_1] protocols. Trying to reach you on your mobile number [PHONENUMBER_1]. Please get back to us at your convenience."
218,"Warren, please send me the finalized sales projections for next year. Send documents to my email Marta_Schuppe@yahoo.com. Call me later at (601) 2174515.","[FIRSTNAME_1], please send me the finalized sales projections for next year. Send documents to my email [EMAIL_1]. Call me later at [PHONENUMBER_1]."
219,Hello! Could you pass on these career choice resources to Amelie? He can be contacted at (978)-8155398. She’s looking to become an anesthesiologist who specializes in surgery patients. ,Hello! Could you pass on these career choice resources to [FIRSTNAME_1]? He can be contacted at [PHONENUMBER_1]. She’s looking to become an [JOBTITLE_1] who specializes in [MEDICAL_1] patients. 
220,I have a 77 years old parent who needs brain surgery. I am trying to understand the correct process. Could I get a call back on (536) 0314403 please?,I have a [AGE_1] old parent who needs [MEDICAL_1]. I am trying to understand the correct process. Could I get a call back on [PHONENUMBER_1] please?
221,Set an appointment for a preventive consultation at 4:37am. Kindly contact me on 032-344.8817. Name: Genderflux,Set an appointment for a preventive consultation at [TIME_1]. Kindly contact me on [PHONENUMBER_1]. Name: [FIRSTNAME_1]]
222,"Good day Arne Bruen. Here is a reminder for the cognitive therapy session you booked. It falls on 19/11/1965 at 7 PM and will take place at our facilities located at 6439, Abshire Flats, North Anjalitown. Send any inquiries to Adolfo_Klocko@yahoo.com or phone 00464-029923. Session cost is S593574.","Good day [FIRSTNAME_1] [LASTNAME_1]. Here is a reminder for the cognitive therapy session you booked. It falls on [DATE_1] at [TIME_1] and will take place at our facilities located at [BUILDINGNUMBER_1], [STREET_1], [CITY_1]. Send any inquiries to [EMAIL_1] or phone [PHONENUMBER_1]. Session cost is [CURRENCYSYMBOL_1][AMOUNT_1]."
223,"Modify order DE67040994470010410096 to include product 7AyOICi2RTyH, if not in stock notify at 042-5541592.","Modify order [IBAN_1] to include product [PASSWORD_1], if not in stock notify at [PHONENUMBER_1]."
224,"Dear Miss Carroll, We, at Nikolaus - Witting, are happy to inform that an amount of ₭788866 as educational fund has been approved to your account 19457425. Should there be any queries, reach out at 05.95.65.36-80 or Lenna.Jast40@yahoo.com.","Dear [PREFIX_1] [LASTNAME_1], We, at [COMPANYNAME_1], are happy to inform that an amount of [CURRENCYSYMBOL_1][AMOUNT_1] as educational fund has been approved to your account [ACCOUNTNUMBER_1]. Should there be any queries, reach out at [PHONENUMBER_1] or [EMAIL_1]."
225,"Please save the date - 4th December. Parents/ Teachers meet for Selina's class 19832-8300. For guidelines, contact 4995-601.5176. Selina will be on pregnancy leave soon, and she is getting a Cesarean section.","Please save the date - [DATE_1]. Parents/ Teachers meet for [FIRSTNAME_1]'s class [ZIPCODE_1]. For guidelines, contact [PHONENUMBER_1]. Selina will be on [MEDICAL_1] leave soon, and she is getting a [MEDICAL_1]."
226,"Coding Club meeting 4th February at Apt. 880 invites Mateo, David and others. For more info, call +652.34.275.2397.","Coding Club meeting [DATE_1] at [SECONDARYADDRESS_1] invites [FIRSTNAME_1], [FIRSTNAME_1] and others. For more info, call [PHONENUMBER_1]."
227,"Dear Mr. Jerde, We are writing to inform you that Beahan - Rodriguez will be undergoing a merger with Lemke, Ebert and Dicki. Rest assured, your Credit Card Account with us, numbered 75723030, will not be impacted. Should you have questions, please contact us at 00280.74710.","Dear [PREFIX_1] [LASTNAME_1], We are writing to inform you that [COMPANYNAME_1] will be undergoing a merger with [COMPANYNAME_1]. Rest assured, your [ACCOUNTNAME_1] with us, numbered [ACCOUNTNUMBER_1], will not be impacted. Should you have questions, please contact us at [PHONENUMBER_1]."
228,"A charge of P837124.05 was made on your account ending with 3825773419602352 from a new location. Please, contact us immediately at +43-13.979-7809 if you did not authorize this transaction.","A charge of [CURRENCYSYMBOL_1][AMOUNT_1] was made on your account ending with [MASKEDNUMBER_1] from a new location. Please, contact us immediately at [PHONENUMBER_1] if you did not authorize this transaction."
229,"Exciting News! Mystery Reading Parent (MRP) program is launching. Parents from 27541-1712, interested in becoming MRPs, can call us at 061 197-6951. Your contribution is appreciated!","Exciting News! [ORGANIZATION_1] program is launching. Parents from [ZIPCODE_1], interested in becoming [JOBTITLE_1], can call us at [PHONENUMBER_1]. Your contribution is appreciated!"
230,Cardiologist Trey indicates urgent need for angiography. Please confirm procedure on the given 64-322554-414809-7 device. Contact our office at +77-76.506 3416.,[JOBTITLE_1] [FIRSTNAME_1] indicates urgent need for [MEDICAL_1]. Please confirm procedure on the given [PHONEIMEI_1] device. Contact our office at [PHONENUMBER_1].
231,Patient with SSN: 774-52-7450 has a payment due. Please contact them at +94 960 869.0698.,Patient with SSN: [SSN_1] has a payment due. Please contact them at [PHONENUMBER_1].
232,Analyst to help with neuropsych research. Must be located in Fort Keaton. Contact 08140.276702.,[JOBTITLE_1] to help with [MEDICAL_1] research. Must be located in [CITY_1]. Contact [PHONENUMBER_1].
233,"Our Literacy Program has started accepting digital currencies (1wdJNxmqEcvLogy5tVLF9NMSRX2Hc3SmkqpkbYPA, Misb65KyjGt1wio7Z5JRKvgtuJkLSn). Join by scanning the QR Code and pay the enrollment fee. For enrollment queries, call us at +84 947-317.5008 or reach out to us on Facebook at LITERACYROCKS_100.","Our [ORGANIZATION_1] Program has started accepting digital currencies ([BITCOINADDRESS_1], [LITECOINADDRESS_1]). Join by scanning the QR Code and pay the enrollment fee. For enrollment queries, call us at [PHONENUMBER_1] or reach out to us on Facebook at [USERNAME_1]."
234,Just got a payment notification 0735-07258146 for 0.6499m. Check if it's in our ledger.,Just got a payment notification [PHONENUMBER_1] for [AMOUNT_1]. Check if it's in our ledger.
235,"HR Memo: Kenna Cameron Schowalter will be assuming the role of Regional Program Technician effective May 15, 1980. Address: 650 Zella Trafficway, Porterville, Warren County. Contact:  028.870 1555, Syble.Sanford-Franey65@gmail.com.","HR Memo: [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] will be assuming the role of [JOBTITLE_1] effective [DATE_1]. Address: [BUILDINGNUMBER_1] [STREET_1], [CITY_1], [COUNTY_1]. Contact:  [PHONENUMBER_1], [EMAIL_1]."
236,"Our clinic in 82826 offers prenatal sessions every Southwest morning. Interested mothers can register by calling 05.95.65.36-80. Remember to provide your SSN, your Male's 1941-11-15T23:26:18.452Z and brown.","Our clinic in [ZIPCODE_1] offers [MEDICAL_1] sessions every [ORDINALDIRECTION_1] morning. Interested mothers can register by calling [PHONENUMBER_1]. Remember to provide your SSN, your [SEX_1]'s [DOB_1] and [EYECOLOR_1]."
237,"My name is Schaefer. I work in the Quality, interested in humanistic therapy. Would you call me at +83 69.578.9566?","My name is [LASTNAME_1]. I work in the [JOBAREA_1], interested in [MEDICAL_1]. Would you call me at [PHONENUMBER_1]?"
238,"Dear Arjun Logan, The Jaskolski, Jakubowski and Pouros is eager to step into discussions regarding your career growth. Kindly share your contact 070.9789558.","Dear [FIRSTNAME_1] [LASTNAME_1], The [COMPANYNAME_1] is eager to step into discussions regarding your career growth. Kindly share your contact [PHONENUMBER_1]."
239,"Looking forward, Miss, to contribute to your upcoming project in Endocrinology. We believe your unique perspective as a Consultant will add great value. Contact (248) 8021722 for more.","Looking forward, [PREFIX_1], to contribute to your upcoming project in [MEDICAL_1]. We believe your unique perspective as a [JOBTITLE_1] will add great value. Contact [PHONENUMBER_1] for more."
240,"To students taking up Principal Branding Developer role, balancing time will be essential, find resources by calling your advisor on +16-49 691 9173. To handle stress on the job, be sure to schedule psychotherapy sessions at our clinic. You can find more information on their Instagram @stress_free_work.","To students taking up [JOBTITLE_1] role, balancing time will be essential, find resources by calling your advisor on [PHONENUMBER_1]. To handle stress on the job, be sure to schedule [MEDICAL_1] sessions at our clinic. You can find more information on their Instagram [USERNAME_1]."
241,"Santiago66, you have been slated to present a talk on International Law at our yearly conference. If you need any support, reach us on 01.12 24.15 36.","[USERNAME_1], you have been slated to present a talk on [ORGANIZATION_1] at our yearly conference. If you need any support, reach us on [PHONENUMBER_1]."
242,"The mental health awareness event will be held on 25/02/1968 at Rodriguez Ports, 7972. More info: (229)-8705182 or Antone1@gmail.com","The [ORGANIZATION_1] event will be held on [DATE_1] at [STREET_1], [BUILDINGNUMBER_1]. More info: [PHONENUMBER_1] or [EMAIL_1]"
243,"Tiffany, we've received an application for Special Education Program at Goldner - Runte with your reference. Please confirm if this was done with your consent. Call us at 037.933.7778 for any queries.","[FIRSTNAME_1], we've received an application for [ORGANIZATION_1] at [COMPANYNAME_1] with your reference. Please confirm if this was done with your consent. Call us at [PHONENUMBER_1] for any queries."
244,"Hello Kristy Vandervort!! Refill notification! Your geriatric prescription refill is ready by June 13, 1903. kr623959.86 to collect. Contact at (11).0737 1076.",Hello [FIRSTNAME_1] [LASTNAME_1]!! Refill notification! Your [MEDICAL_1] refill is ready by [DATE_1]. [CURRENCYSYMBOL_1][AMOUNT_1] to collect. Contact at [PHONENUMBER_1].
245,"For Physics Olympiad registration, use account 90724849 and enter the 8378 during transaction. For queries, contact 016-4292734.","For [ORGANIZATION_1] registration, use account [ACCOUNTNUMBER_1] and enter the [PIN_1] during transaction. For queries, contact [PHONENUMBER_1]."
246,"Our database is secure, and your information, including SSN (425 48 8957) and contact (+52-06-087.2516), remains confidential. We respect your privacy during this journey.","Our database is secure, and your information, including SSN ([SSN_1]) and contact ([PHONENUMBER_1]), remains confidential. We respect your privacy during this journey."
247,Investigating Optimization sector. Subject is female person from Wayne County. Contact via 3243.564-0066 or email Destinee.Schulist36@gmail.com.,Investigating [JOBAREA_1] sector. Subject is [GENDER_1] person from [COUNTY_1]. Contact via [PHONENUMBER_1] or email [EMAIL_1].
248,"Completion of classroom management plan at 36940 for Money Market Account by 29th March. Secure it under 172.75.185.108, 36eJ3v9FkhytFNHEntgvvAe1gX, 756.6391.7219. Use 68587-4162 for tracking. Reach out at 084 125-4101 for relevant concerns.","Completion of classroom management plan at [BUILDINGNUMBER_1] for [ACCOUNTNAME_1] by [DOB_1]. Secure it under [IPV4_1], [BITCOINADDRESS_1], [SSN_1]. Use [ZIPCODE_1] for tracking. Reach out at [PHONENUMBER_1] for relevant concerns."
249,"Plan for classroom management for Home Loan Account is due on 1904-12-07T19:07:23.460Z. Secure it via 44.125.90.202, 3GhS8Dq8GJFV5Dfisy3T7TxFcxm9FVg6g, 137 29 7616. If any questions arise, use +785-538 395-9851. Get Female's ward approval.","Plan for classroom management for [ACCOUNTNAME_1] is due on [DOB_1]. Secure it via [IPV4_1], [BITCOINADDRESS_1], [SSN_1]. If any questions arise, use [PHONENUMBER_1]. Get [SEX_1]'s ward approval."
250,"Hello, Male to female transgender woman. We received your application and are reviewing it. We will follow up on +801 811.900-9074.","Hello, [GENDER_1]. We received your application and are reviewing it. We will follow up on [PHONENUMBER_1]."
251,"Hello, [GENDER_1] to [GENDER_1]. We received your application and are reviewing it. We will follow up on [PHONENUMBER_1].","Contact [PHONENUMBER_1] for assistance on securities law. Resident at [SECONDARYADDRESS_1], [CITY_1], [COUNTY_1], [STATE_1]."
252,"Contact [PHONENUMBER_1] for assistance on [ORGANIZATION_1]. Resident at [SECONDARYADDRESS_1], [CITY_1], [COUNTY_1], [STATE_1].","Hello Abby, I hope you are well. As a leading professional in Tyreebury, we believe that your insights into Social Emotional Learning will be greatly beneficial for our ongoing program. Please call us on (62)-2746.9435 to discuss further. Feel free to reach out on our Snapchat at ak1jkf_19355."
253,"To parents in 94025, wishing to lend a hand in serving meals during lunch. Please call 669-275-1932 to volunteer. Time slots will be allocated based on your availability.","To parents in [ZIPCODE_1], wishing to lend a hand in serving meals during lunch. Please call [PHONENUMBER_1] to volunteer. Time slots will be allocated based on your availability."
254,Failed transaction with 5117693126124094. Customer service contact: +07.76 250-9663.,Failed transaction with [CREDITCARDNUMBER_1]. Customer service contact: [PHONENUMBER_1].
255,"Miss Cisgender man McDermott, your claim for an amount of L468195.86 is waiting for approval. Kindly stay patient and reach us over call +61-72 857.6214 or email King.Renner74@hotmail.com or our Twitter @burgerlandTM if you need updates.","[PREFIX_1] [GENDER_1] [LASTNAME_1], your claim for an amount of [CURRENCYSYMBOL_1][AMOUNT_1] is waiting for approval. Kindly stay patient and reach us over call [PHONENUMBER_1] or email [EMAIL_1] or our Twitter [USERNAME_1] if you need updates."
256,"Joel.Heathcote31 has shown a lot of change in his behavior and academic performance. His parents, Ms. Mosciski, are quite pleased with the change. They can be contacted at 06 60 42.89 99.","[USERNAME_1] has shown a lot of change in his behavior and academic performance. His parents, [PREFIX_1] [LASTNAME_1], are quite pleased with the change. They can be contacted at [PHONENUMBER_1]."
257,"Hello, Savings Account has just contacted our hotline, 06582 388817, expressing their gratitude for our services related to healthcare accessibility. They would like to discuss more about it with our Officer.","Hello, [ACCOUNTNAME_1] has just contacted our hotline, [PHONENUMBER_1], expressing their gratitude for our services related to healthcare accessibility. They would like to discuss more about it with our [JOBTYPE_1]."
258,"Dear Rosie, our record shows that your life insurance policy needs to be updated in your estate plan handled by us. Can you please confirm via 076.400-7957 call or Allison18@hotmail.com?","Dear [FIRSTNAME_1], our record shows that your [ORGANIZATION_1] policy needs to be updated in your estate plan handled by us. Can you please confirm via [PHONENUMBER_1] call or [EMAIL_1]?"
259,"Miss Grady, could you please give us your input on the upcoming extracurricular activities? We value your insightful ideas. You can reach us at (60)-4672 4559.","[PREFIX_1] [LASTNAME_1], could you please give us your input on the upcoming extracurricular activities? We value your insightful ideas. You can reach us at [PHONENUMBER_1]."
260,"Nathan Parker Bernhard, your student evaluation is due soon. The deadline is March 22, 1991. Please make sure to finish before the time ends. If you require assistance, contact us at 020 127-1469 or Sally_Stanton95@gmail.com. Your vaccination is also due.","[FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1], your student evaluation is due soon. The deadline is [DATE_1]. Please make sure to finish before the time ends. If you require assistance, contact us at [PHONENUMBER_1] or [EMAIL_1]. Your [MEDICAL_1] is also due."
261,"Russ Emard, to confirm your colonoscopy appointment on 09/08/2016 at 5, please use this link https://needy-cost.info and your credentials Kali_Haag and 5fBTxDiVo7_v. Problems? Contact us by phone 0349-09764567 or email Jaime50@hotmail.com.","[FIRSTNAME_1] [LASTNAME_1], to confirm your [MEDICAL_1] appointment on [DATE_1] at [TIME_1], please use this link [URL_1] and your credentials [USERNAME_1] and [PASSWORD_1]. Problems? Contact us by phone [PHONENUMBER_1] or email [EMAIL_1]."
262,"Finley, we have flagged an unauthorised transaction on your account 56578234. Please confirm at 069.0487926 using the PIN 2100.","[MIDDLENAME_1], we have flagged an unauthorised transaction on your account [ACCOUNTNUMBER_1]. Please confirm at [PHONENUMBER_1] using the PIN [PIN_1]."
263,Client 18179824 from 79345 wants an in-depth discussion about their account. Their contact number is 09612-224475.,Client [ACCOUNTNUMBER_1] from [ZIPCODE_1] wants an in-depth discussion about their account. Their contact number is [PHONENUMBER_1].
264,"Dear Mrs. Gaston Riley Murphy, This is a reminder for your HPV screening appointment scheduled for 2nd February at 12. The location is 12204, Kutch Walks, South Maximusfort, Ohio, 88654. Please call us at +167 23-388 5781 if you need to reschedule.","Dear [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1], This is a reminder for your [MEDICAL_1] appointment scheduled for [DATE_1] at [TIME_1]. The location is [BUILDINGNUMBER_1], [STREET_1], [CITY_1], [STATE_1], [ZIPCODE_1]. Please call us at [PHONENUMBER_1] if you need to reschedule."
265,"Dr. Dickens, your medical imaging appointment is 1980-05-18T01:01:59.829Z at 11 AM. If you need to reschedule, please call 0893-14062339 before 24 hours.","[PREFIX_1] [LASTNAME_1], your [MEDICAL_1] appointment is [DATE_1] at [TIME_1]. If you need to reschedule, please call [PHONENUMBER_1] before 24 hours."
266,"Austin, a health checkup has been scheduled at your nearest affiliated clinic. You can reach out to +153 916.365 9069 for any queries. Look forward to your positive response at Tressa.Hackett86@hotmail.com.","[MIDDLENAME_1], a [MEDICAL_1] has been scheduled at your nearest affiliated clinic. You can reach out to [PHONENUMBER_1] for any queries. Look forward to your positive response at [EMAIL_1]."
267,"Dr. Angel Renner, with SSN 110-81-9044, is charged with wire fraud over the sum of ฿266.4k. Contact through phone number 8294 760.9173 or email Emmalee26@hotmail.com.","[PREFIX_1] [FIRSTNAME_1] [LASTNAME_1], with SSN [SSN_1], is charged with wire fraud over the sum of [CURRENCYSYMBOL_1][AMOUNT_1]. Contact through phone number [PHONENUMBER_1] or email [EMAIL_1]."
268,We received a call in Directives department from the worker with the phone number 010.9738-8552. Claimed for Unpaid Overtime.,We received a call in [JOBAREA_1] department from the worker with the phone number [PHONENUMBER_1]. Claimed for Unpaid Overtime.
269,"Dear Stakeholder, We appreciate your continued support for Rempel and Sons. We will get in touch with you via 0071 60944670 on 31/01/1992 to discuss our newest initiatives.","Dear Stakeholder, We appreciate your continued support for [COMPANYNAME_1]. We will get in touch with you via [PHONENUMBER_1] on [DATE_1] to discuss our newest initiatives."
270,"kiki_slayder2004 is seeking legal advice, could you connect via phone +1 (800) 456-9012?","[USERNAME_1] is seeking legal advice, could you connect via phone [PHONENUMBER_1]?"
271,"Dear Parents, the lost and found bin in school is overflowing! Parents located at 10156-4613 may come by to claim items. For details, call us at 035.160-7891. Be sure to schedule your kid’s annual flu shot.","Dear Parents, the lost and found bin in school is overflowing! Parents located at [ZIPCODE_1] may come by to claim items. For details, call us at [PHONENUMBER_1]. Be sure to schedule your kid’s annual [MEDICAL_1]."
272,"Elmer's school meals balance is at Kuwaiti Dinar RM, to be paid to discover. Contact +09-303.658 9246 for card issues.","[FIRSTNAME_1]'s school meals balance is at [CURRENCY_1] [CURRENCYSYMBOL_1], to be paid to [CREDITCARDISSUER_1]. Contact [PHONENUMBER_1] for card issues."
273,"To access the full version of the new self-paced courses, ensure Bitcoin address 37Ly5aiQUUsCdSGcLz8BhPEMxkGekd7rRUBLbJH4 is funded. The total cost is P862039.05. Should you have any issues, do not hesitate to contact our support line at 00165.201662 or direct message us on Instagram @heLp_is_cOstly.","To access the full version of the new self-paced courses, ensure Bitcoin address [BITCOINADDRESS_1] is funded. The total cost is [CURRENCYSYMBOL_1][AMOUNT_1]. Should you have any issues, do not hesitate to contact our support line at [PHONENUMBER_1] or direct message us on Instagram [USERNAME_1]."
274,In need of urgent attention. Found suspicious endocrine patterns in our 6 years old Demi-woman dataset. Get in touch 004-8954-2874.,In need of urgent attention. Found suspicious [MEDICAL_1] patterns in our [AGE_1] old [GENDER_1] dataset. Get in touch [PHONENUMBER_1].
275,"Greetings Estella, we detected a technical issue related to your diagnostic system with IP: 166.110.14.98. Please contact us at +12.196 182 2449 for assistance.","Greetings [FIRSTNAME_1], we detected a technical issue related to your diagnostic system with IP: [IPV4_1]. Please contact us at [PHONENUMBER_1] for assistance."
276,"Hello Edgar, please join us to a transdisciplinary psycho-oncology course essential for Security personnel. Visit https://wide-eyed-variable.biz/ for more details about the structure of the course and kindly confirm your attendance through 011.0374177. Regards, Altenwerth","Hello [FIRSTNAME_1], please join us to a transdisciplinary [MEDICAL_1] course essential for [JOBAREA_1] personnel. Visit [URL_1] for more details about the structure of the course and kindly confirm your attendance through [PHONENUMBER_1]. Regards, [LASTNAME_1]"
277,"Plan for Checking Account classroom management and the Yang Immunology Research Lab. Required documents secured under 148.193.74.178, 1FK21eVCQ3BjVJ4WZoenTu8KhP8qed387PdEFJfA, 75645954965. Updates due by 6/88, contact 08 1027.5554 for concerns. Male's rep should sign-off. Suite 546 provided as alternative address.","Plan for [ACCOUNTNAME_1] classroom management and the [ORGANIZATION_1. Required documents secured under [IPV4_1], [BITCOINADDRESS_1], [SSN_1]. Updates due by [DOB_1], contact [PHONENUMBER_1] for concerns. [SEX_1]'s rep should sign-off. [SECONDARYADDRESS_1] provided as alternative address."
278,"Hello Harmon, our team in Lake Jamison is researching on Social Emotional Learning. Please share your findings with us. Call us on +45 395.094.7405.","Hello [FIRSTNAME_1], our team in [CITY_1] is researching on [ORGANIZATION_1]. Please share your findings with us. Call us on [PHONENUMBER_1]."
279,"On behalf of Grant Rory, a claim has been filed associated with an accident on June 24, 1962. The vehicle concerned carries the VRM RE99NQG. Reach us at 0504 54007995 or Mary.OKeefe38@yahoo.com for more information.","On behalf of [FIRSTNAME_1] [LASTNAME_1], a claim has been filed associated with an accident on [DATE_1]. The vehicle concerned carries the VRM [VEHICLEVRM_1]. Reach us at [PHONENUMBER_1] or [EMAIL_1] for more information."
280,"Hello Ms. Edd, Your account Auto Loan Account number 44173282 has a balance of 472551.33 Moroccan Dirham. Please make sure to clear it by end of this month. You can contact us on 004.512-0488 or Leatha.Steuber@hotmail.com for any financial concerns regarding your therapy sessions.","Hello [PREFIX_1] [LASTNAME_1], Your account [ACCOUNTNAME_1] number [ACCOUNTNUMBER_1] has a balance of [AMOUNT_1] [CURRENCYNAME_1]. Please make sure to clear it by end of this month. You can contact us on [PHONENUMBER_1] or [EMAIL_1] for any financial concerns regarding your [MEDICAL_1] sessions."
281,"Opening of the new arts section on 14/06/1946 in Corsica. Looking forward to seeing you there. For further queries, contact 07908.87710.","Opening of the new arts section on [DOB_1] in [STATE_1]. Looking forward to seeing you there. For further queries, contact [PHONENUMBER_1]."
282,"Good news for Male over 60, free chiropractic sessions are available for you all. More info on New Leu. Call us at 042-4881206.","Good news for [SEX_1] over [AGE_1], free [MEDICAL_1] sessions are available for you all. More info on [CURRENCYNAME_1]. Call us at [PHONENUMBER_1]."
