,Unnamed: 0,unmasked_text,masked_text,phone_number,target,manual target,zero if wrong,false positives,false negatives
463,463,"Dear Jonathan, I'd like to finalize the dates of our upcoming 2-week marriage healing workshop. Can we schedule them from 15/09/1910 onwards? Kindly reply on Freida.Thiel@gmail.com, or contact us at 018 6644-6247. Looking forward to hearing from you.","Dear [FIRSTNAME_1], I'd like to finalize the dates of our upcoming 2-week marriage healing workshop. Can we schedule them from [DATE_1] onwards? Kindly reply on [EMAIL_1], or contact us at [PHONENUMBER_1]. Looking forward to hearing from you.",018 6644-6247,O,,,,
464,464,This case involves a claim of discrimination in public services filed by Darrell with SSN: 75612695317 against Neomamouth. Further details can be procured at 01 3551-0625.,This case involves a claim of discrimination in public services filed by [FIRSTNAME_1] with SSN: [SSN_1] against [CITY_1]. Further details can be procured at [PHONENUMBER_1].,01 3551-0625,O,,,,
465,465,We need to address the parents of Ezekiel16 over his declining scores. Please assist me in scheduling a meeting with Mr. Ernser. Their contact number is +959.049 439-1055.,We need to address the parents of [USERNAME_1] over his declining scores. Please assist me in scheduling a meeting with [PREFIX_1] [LASTNAME_1]. Their contact number is [PHONENUMBER_1].,+959.049 439-1055,TEL,TEL,1,,
466,466,"We are proud to announce our T* man teacher, Montana Angel, who will be taking evening literacy classes at Kendall Forest 75952, 07311-8287. For more information, reach us via phone +19.547 361-1035 or access our portal via d2c4:93aa:ceed:d960:c456:8d6c:9265:c2ab.","We are proud to announce our [GENDER_1] teacher, [FIRSTNAME_1] [MIDDLENAME_1], who will be taking evening literacy classes at [STREET_1] [BUILDINGNUMBER_1], [ZIPCODE_1]. For more information, reach us via phone [PHONENUMBER_1] or access our portal via [IPV6_1].",+19.547 361-1035,O,,,,
467,467,"Dear Mrs., we are visiting franchised units in Leicestershire at 12 for routine checks. For queries, reach us at https://repentant-dancer.org/ or (98) 7561.5671.","Dear [PREFIX_1], we are visiting franchised units in [COUNTY_1] at [TIME_1] for routine checks. For queries, reach us at [URL_1] or [PHONENUMBER_1].",(98) 7561.5671,O,,,,
468,468,"Greetings Ms. Chelsie, This is a reminder of your upcoming Cognitive Therapy session scheduled on 2/93 at 23:42. Feel free to contact us on 0316 64791074 for any changes. Also, please remember to bring photo identification (for security purposes) to your appointment.","Greetings [PREFIX_1] [FIRSTNAME_1], This is a reminder of your upcoming Cognitive Therapy session scheduled on [DATE_1] at [TIME_1]. Feel free to contact us on [PHONENUMBER_1] for any changes. Also, please remember to bring photo identification (for security purposes) to your appointment.",0316 64791074,O,,,,
469,469,"Our field trip to Windsor Close's Butterfly Conservatory is just a week away! Dress your kids appropriately for the weather, and make sure to pack a healthy lunch. Call us at 014.078.9028 if you have any questions.","Our field trip to [STREET_1]'s Butterfly Conservatory is just a week away! Dress your kids appropriately for the weather, and make sure to pack a healthy lunch. Call us at [PHONENUMBER_1] if you have any questions.",014.078.9028,TEL,,,,
470,470,New listing on Fort Carleebury for residential property at 897.848k Pakistan Rupee. Located right at the heart of Grant County. Interested buyers can contact (25)-7587-3420.,New listing on [CITY_1] for residential property at [AMOUNT_1] [CURRENCY_1]. Located right at the heart of [COUNTY_1]. Interested buyers can contact [PHONENUMBER_1].,(25)-7587-3420,O,,,,
471,471,"Rudolph, we appreciate your Identity insights on literacy. We would like to discuss further. Contact us at Jayden_Mertz@hotmail.com or +480 786 329.4983.","[FIRSTNAME_1], we appreciate your [JOBAREA_1] insights on literacy. We would like to discuss further. Contact us at [EMAIL_1] or [PHONENUMBER_1].",+480 786 329.4983,TEL,TEL,,,
472,472,Celebrating 23 years old years of successful group therapies with a special meet-up. Contact 09.9132-8880 for information.,Celebrating [AGE_1] years of successful group therapies with a special meet-up. Contact [PHONENUMBER_1] for information.,09.9132-8880,O,,,,
473,473,"Dr., you've been requested by Langosh - Larson to discuss a potential partnership related to the Infrastructure sector of Cardiology. The meeting is set to happen in the Warren County office on 02/12/1902. For details, contact 00.02.65-45.89.","[PREFIX_1], you've been requested by [COMPANYNAME_1] to discuss a potential partnership related to the [JOBAREA_1] sector of Cardiology. The meeting is set to happen in the [COUNTY_1] office on [DATE_1]. For details, contact [PHONENUMBER_1].",00.02.65-45.89,O,,,,
474,474,Dr. Bauch's office will be moved to Apt. 610. The new phone extension for her office is +09-47-406-4994. Please update the contact directory accordingly.,Dr. [LASTNAME_1]'s office will be moved to [SECONDARYADDRESS_1]. The new phone extension for her office is [PHONENUMBER_1]. Please update the contact directory accordingly.,-5438,O,,,,
475,475,"Hello team, we've just concluded our psychometric testing for the Accounts. Test's ID was 5662642303416143. Detailed results will be shared on 08 1711.2006.","Hello team, we've just concluded our psychometric testing for the [JOBAREA_1]. Test's ID was [MASKEDNUMBER_1]. Detailed results will be shared on [PHONENUMBER_1].",08 1711.2006,O,,,,
476,476,"Our proposal to increase funding for mental health treatment in New York has been approved. We would love to discuss the details in person at your office located at Pollich Expressway, 649, Fabiolaville. Contact +655 115.344-5404 for scheduling.","Our proposal to increase funding for mental health treatment in [STATE_1] has been approved. We would love to discuss the details in person at your office located at [STREET_1], [BUILDINGNUMBER_1], [CITY_1]. Contact [PHONENUMBER_1] for scheduling.",+655 115.344-5404,TEL,TEL,,,
477,477,"This CONTRACT made and entered into as of 11/19, by and between Mrs. Kaycee Bowie Thompson hereinafter referred to as the 'Lessor' and O'Conner, Mayert and Hagenes hereinafter referred to as the 'Lessee' is residing at Josiane Fords 71736, West Efrenmouth, Alaska, 48116. Contact the Lessee at (08).1103 5946 or Gavin_Hirthe87@gmail.com for any purpose related to this agreement.","This CONTRACT made and entered into as of [DATE_1], by and between [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] hereinafter referred to as the 'Lessor' and [COMPANYNAME_1] hereinafter referred to as the 'Lessee' is residing at [STREET_1] [BUILDINGNUMBER_1], [CITY_1], [STATE_1], [ZIPCODE_1]. Contact the Lessee at [PHONENUMBER_1] or [EMAIL_1] for any purpose related to this agreement.",(08).1103 5946,O,,,,
478,478,"To collect your child's progress report, please visit our office at 36382, Mill Close, West Ron on 01/11/1920. Contact +031.200-896 1562 or Porter80@yahoo.com for any queries.","To collect your child's progress report, please visit our office at [BUILDINGNUMBER_1], [STREET_1], [CITY_1] on [DATE_1]. Contact [PHONENUMBER_1] or [EMAIL_1] for any queries.",+031.200-896 1562,TEL,TEL,,,
479,479,"I am Mrs. Demigender from Boyle - Hammes, and I want to introduce a literacy program in your schools. Contact me through phone number 072 718 5931. If you agree, we can meet at building number 29731.","I am [PREFIX_1] [GENDER_1] from [COMPANYNAME_1], and I want to introduce a literacy program in your schools. Contact me through phone number [PHONENUMBER_1]. If you agree, we can meet at building number [BUILDINGNUMBER_1].",072 718 5931,TEL,,,,
480,480,"Dear Buck, we have received your request for an appointment on 29th September at 18. For any cancellations or re-scheduling, please contact us on +48 165-452.4955.","Dear [FIRSTNAME_1], we have received your request for an appointment on [DATE_1] at [TIME_1]. For any cancellations or re-scheduling, please contact us on [PHONENUMBER_1].",+48 165-452.4955,O,,,,
481,481,"Hello Mr., sending you the link for the Positive Psychology course by Auto Loan Account. Please visit https://proper-denominator.name/ and login with your account. The password is 2vMd9gQWvl4T. If you have any issues, reach me on 061 622 2000. Best, Angel","Hello [PREFIX_1], sending you the link for the Positive Psychology course by [ACCOUNTNAME_1]. Please visit [URL_1] and login with your account. The password is [PASSWORD_1]. If you have any issues, reach me on [PHONENUMBER_1]. Best, [MIDDLENAME_1]",061 622 2000,TEL,,,,
482,482,"King, please review the charge kr42917 for the standardized test fee, processed from your card 6780358930367542. If you need any assistance, contact us on 0691 91433896.","[FIRSTNAME_1], please review the charge [CURRENCYSYMBOL_1][AMOUNT_1] for the standardized test fee, processed from your card [CREDITCARDNUMBER_1]. If you need any assistance, contact us on [PHONENUMBER_1].",0691 91433896,O,,,,
483,483,"Llewellyn,  Padberg, Osinski and Christiansen offered to donate $532450.00 for mental health resources in Lueview schools. As Corporate Interactions Planner, can you manage? Reach out at +60 895 387-9353 or Leonard58@gmail.com by 1916-11-14T18:28:26.014Z. Best, Administrator Jonatan","[FIRSTNAME_1],  [COMPANYNAME_1] offered to donate [CURRENCYSYMBOL_1][AMOUNT_1] for mental health resources in [CITY_1] schools. As [JOBTITLE_1], can you manage? Reach out at [PHONENUMBER_1] or [EMAIL_1] by [DATE_1]. Best, Administrator [FIRSTNAME_2]",+60 895 387-9353,O,,,,
484,484,"Dear Osvaldo.Mante32, I am writing to you regarding the next steps for our International Law case. Please contact me at 002-8921663 for further instructions and secure payment details.","Dear [USERNAME_1], I am writing to you regarding the next steps for our International Law case. Please contact me at [PHONENUMBER_1] for further instructions and secure payment details.",002-8921663,O,,,,
485,485,"For the financial literacy course, new topics on debt management have been introduced, including understanding different types of accounts (Investment Account & 87155805) and credit cards (4359258070149780 by discover). Feel free to call me at +11.768.147 7293 for any queries.","For the financial literacy course, new topics on debt management have been introduced, including understanding different types of accounts ([ACCOUNTNAME_1] & [ACCOUNTNUMBER_1]) and credit cards ([CREDITCARDNUMBER_1] by [CREDITCARDISSUER_1]). Feel free to call me at [PHONENUMBER_1] for any queries.",+11.768.147 7293,O,,,,
486,486,"Could you volunteer on our upcoming book drive Adele? Our operations this time are bigger than last, we could use your help! You can confirm via phoning on 2934-911.7515.","Could you volunteer on our upcoming book drive [FIRSTNAME_1]? Our operations this time are bigger than last, we could use your help! You can confirm via phoning on [PHONENUMBER_1].",2934-911.7515,O,,,,
487,487,Our Configuration workshops in North Annabellehaven are designed to treat addiction and maintain your Manager. Call us at +31.79 926-2198 and mention Savings Account-11787257 for discounts. Regular check-ins at the centre will be required.,Our [JOBAREA_1] workshops in [CITY_1] are designed to treat addiction and maintain your [JOBTYPE_1]. Call us at [PHONENUMBER_1] and mention [ACCOUNTNAME_1]-[ACCOUNTNUMBER_1] for discounts. Regular check-ins at the centre will be required.,+31.79 926-2198,O,,,,
488,488,Called Frankie today. Seems like things are not going well at South Jason. A crisis intervention is needed urgently. Contact 051 4738880 to understand it better.,Called [FIRSTNAME_1] today. Seems like things are not going well at [CITY_1]. A crisis intervention is needed urgently. Contact [PHONENUMBER_1] to understand it better.,051 4738880,TEL,,,,
489,489,Just had an update from Susanna: her recovery from the hamstring surgery is going well. She still maintains a disciplined diet and listens to her body. You can reach her at 002-3503-5666 to schedule the next visit.,Just had an update from [FIRSTNAME_1]: her recovery from the hamstring surgery is going well. She still maintains a disciplined diet and listens to her body. You can reach her at [PHONENUMBER_1] to schedule the next visit.,002-3503-5666,O,,,,
490,490,"We've scheduled Emely Deckow to consult with the oncology department next week. For any inquiries or confirmation, please reach her at 05890 777342.","We've scheduled [FIRSTNAME_1] [LASTNAME_1] to consult with the oncology department next week. For any inquiries or confirmation, please reach her at [PHONENUMBER_1].",05890 777342,O,,,,
491,491,The crisis hotline received a call from Darron and she is in urgent need for intervention. Please reach her on this number +797 211-611.9577.,The crisis hotline received a call from [FIRSTNAME_1] and she is in urgent need for intervention. Please reach her on this number [PHONENUMBER_1].,+797 211-611.9577,TEL,TEL,,,
492,492,Hey Verlie! I received your email address Kamren_Schamberger@gmail.com and phone number 04.0876 4796 from peer tutoring contact list. I can assist with your query. What time suits you best for our first session?,Hey [FIRSTNAME_1]! I received your email address [EMAIL_1] and phone number [PHONENUMBER_1] from peer tutoring contact list. I can assist with your query. What time suits you best for our first session?,04.0876 4796,O,,,,
493,493,"Please provide your Savings Account number 80536240 for further calculations on tax saving, also indicate 538616.25 in NZD or N$. Reply or call me on +76.863.506.7997.","Please provide your [ACCOUNTNAME_1] number [ACCOUNTNUMBER_1] for further calculations on tax saving, also indicate [AMOUNT_1] in [CURRENCYCODE_1] or [CURRENCYSYMBOL_1]. Reply or call me on [PHONENUMBER_1].",+76.863.506.7997,O,,,,
494,494,"Hello Marquise, our Consultant, Hayes will be contacting you from +592.327 149.5947 to discuss the BPA protocols. Kindly save this number for reference. Also, we need a confirmation on your current location Scott County, Iowa?","Hello [FIRSTNAME_1], our [JOBTYPE_1], [LASTNAME_1] will be contacting you from [PHONENUMBER_1] to discuss the BPA protocols. Kindly save this number for reference. Also, we need a confirmation on your current location [COUNTY_1], [STATE_1]?",+592.327 149.5947,TEL,TEL,,,
495,495,Follow this patent application guide I found at https://wooden-tambourine.net. Contact Clifford for password recovery at +481-138.527-9699.,Follow this patent application guide I found at [URL_1]. Contact [FIRSTNAME_1] for password recovery at [PHONENUMBER_1].,-9356.527,TEL,TEL,,,
496,496,Time Management Seminar in Thuringia! Improve your Chief Accountability Facilitator role by learning to manage your time. Register via +05.66-098.2893.,Time Management Seminar in [STATE_1]! Improve your [JOBTITLE_1] role by learning to manage your time. Register via [PHONENUMBER_1].,-92.6293,O,,,,
497,497,"Dear Eloy, we?€?ve noticed unusual activity on your account ending with 43036779 from a device with IP: 229.53.238.178. If this wasn?€?t you, please ring us at 007.2564070.","Dear [FIRSTNAME_1], we?€?ve noticed unusual activity on your account ending with [ACCOUNTNUMBER_1] from a device with IP: [IPV4_1]. If this wasn?€?t you, please ring us at [PHONENUMBER_1].",007.2564070,O,,,,
498,498,"Dear Ms. Bergnaum, we need to discuss the biopsy results. Kindly contact me ASAP on 01930-00125.","Dear [PREFIX_1] [LASTNAME_1], we need to discuss the biopsy results. Kindly contact me ASAP on [PHONENUMBER_1].",01930-00125,O,,,,
499,499,We are hiring a Investor Directives Director for our Lake Havasu City franchise. Share the job profile on https://meek-eaves.net or contact us at 022.9800 8761.,We are hiring a [JOBTITLE_1] for our [CITY_1] franchise. Share the job profile on [URL_1] or contact us at [PHONENUMBER_1].,022.9800 8761,O,,,,
500,500,"Please contact our Lead Tactics Liaison, Blaze Brekke, through this number 0874 64552741 to discuss intellectual property management.","Please contact our [JOBTITLE_1], [FIRSTNAME_1] [LASTNAME_1], through this number [PHONENUMBER_1] to discuss intellectual property management.",0874 64552741,O,,,,
501,501,"Schmidt Group has made immense breakthroughs in their Directives division. They have also recently started shipping to Smithamville. For any questions regarding this, please send an inquiry to Reed.Berge28@yahoo.com or contact our hotline at (42)-1274.6157.","[COMPANYNAME_1] has made immense breakthroughs in their [JOBAREA_1] division. They have also recently started shipping to [CITY_1]. For any questions regarding this, please send an inquiry to [EMAIL_1] or contact our hotline at [PHONENUMBER_1].",(42)-1274.6157,O,,,,
502,502,We're planning our annual camping trip to Nunavut next month. Families are welcome to come along! Pak your camping equipment and join us. Further details will be provided by phone: 6010-268 8809.,We're planning our annual camping trip to [STATE_1] next month. Families are welcome to come along! Pak your camping equipment and join us. Further details will be provided by phone: [PHONENUMBER_1].,6010-268 8809,O,,,,
503,503,"Dear Jerod, our company Huels LLC is organizing an Internship Program. We encourage you to join us! Our Directives department is looking for a talented Director like you! The application deadline is 1996-06-28T02:18:32.040Z. Please send us an email to Roxanne.Macejkovic73@gmail.com or call (277) 9342292.","Dear [FIRSTNAME_1], our company [COMPANYNAME_1] is organizing an Internship Program. We encourage you to join us! Our [JOBAREA_1] department is looking for a talented [JOBTYPE_1] like you! The application deadline is [DATE_1]. Please send us an email to [EMAIL_1] or call [PHONENUMBER_1].",(277) 9342292,O,,,,
504,504,"Our record shows no preventive medical checkups in the last year for Trans woman, 07/07/1970. Such checkups are crucial. Please book through the link https://married-twilight.biz or call 0666 29979402.","Our record shows no preventive medical checkups in the last year for [GENDER_1], [DOB_1]. Such checkups are crucial. Please book through the link [URL_1] or call [PHONENUMBER_1].",0666 29979402,O,,,,
505,505,"As Camille Zulauf is recovering from her procedure, she will need an appointment with her job office Trantow, Connelly and Gleichner administrator on 25th August. Let's coordinate the appointment time via her phone number +097.03.365 0803.","As [FIRSTNAME_1] [LASTNAME_1] is recovering from her procedure, she will need an appointment with her job office [COMPANYNAME_1] administrator on [DATE_1]. Let's coordinate the appointment time via her phone number [PHONENUMBER_1].",+097.03.365 0803,O,,,,
506,506,"Pearline, severe stress may affect your physical health, particularly those aged 80 years old and above. For more stress management advice, please contact us through 5155 407 2222.","[FIRSTNAME_1], severe stress may affect your physical health, particularly those aged [AGE_1] and above. For more stress management advice, please contact us through [PHONENUMBER_1].",5155 407 2222,O,,,,
507,507,"Hello, Contract for player Pearlie35 draft has arrived. Please review it and send us your approval to proceed. Contact us at +120.520-956-1454 or reply to Chloe22@hotmail.com if there are issues.","Hello, Contract for player [USERNAME_1] draft has arrived. Please review it and send us your approval to proceed. Contact us at [PHONENUMBER_1] or reply to [EMAIL_1] if there are issues.",-2289.48,TEL,TEL,,,
508,508,"In response to your concerns Isaias, our platform is designed to be HIPAA compliant and secure all personal data (00-996217-537242-6, 1958 817.0792) from attacks. Would you join us in a webinar on this topic on 1/90?","In response to your concerns [FIRSTNAME_1], our platform is designed to be HIPAA compliant and secure all personal data ([PHONEIMEI_1], [PHONENUMBER_1]) from attacks. Would you join us in a webinar on this topic on [DATE_1]?",1958 817.0792,O,,,,
509,509,"Glennie, found a potential bio-hazard. Can you investigate? The suspicious activity was traced back to IP 18.107.61.2. Contact info is 06165-30114. Use the Glover, Collins and Orn's Auto Loan Account account number 46980681 for any necessary expenditures.","[FIRSTNAME_1], found a potential bio-hazard. Can you investigate? The suspicious activity was traced back to IP [IPV4_1]. Contact info is [PHONENUMBER_1]. Use the [COMPANYNAME_1]'s [ACCOUNTNAME_1] account number [ACCOUNTNUMBER_1] for any necessary expenditures.",06165-30114,O,,,,
510,510,"For the upcoming school picnic to Spokane, we need your prompt confirmation for your child's participation. Kindly contact us at 07748-891225. Expecting your support on this.","For the upcoming school picnic to [CITY_1], we need your prompt confirmation for your child's participation. Kindly contact us at [PHONENUMBER_1]. Expecting your support on this.",07748-891225,O,,,,
511,511,"You're due for your yearly mammogram Mrs. Schimmel, it's been a while. Contact us at 052 207.9281.","You're due for your yearly mammogram [PREFIX_1] [LASTNAME_1], it's been a while. Contact us at [PHONENUMBER_1].",052 207.9281,TEL,TEL,,,
512,512,"Analyst special, Group Therapy Session. Sessions begin at 1 o'clock. Contact us at 00667 437776.","[JOBTYPE_1] special, Group Therapy Session. Sessions begin at [TIME_1]. Contact us at [PHONENUMBER_1].",00667 437776,O,,,,
513,513,"Hi Jacobs, I sent over the details for your individual health insurance plan. Please feel free to contact me at 07 3793 4883 in case you have any questions. Transaction successful via Home Loan Account, account number 74254924.","Hi [LASTNAME_1], I sent over the details for your individual health insurance plan. Please feel free to contact me at [PHONENUMBER_1] in case you have any questions. Transaction successful via [ACCOUNTNAME_1], account number [ACCOUNTNUMBER_1].",07 3793 4883,TEL,,,,
514,514,"Here's a brief summary on effective governance measures. For any detailed discussion, please use our secured communication line +347 570-994-6269 and ask for Sister26. You can also reach us at our 46fa:f8f9:03b9:6cb0:bcae:0dad:ab34:be6c location.","Here's a brief summary on effective governance measures. For any detailed discussion, please use our secured communication line [PHONENUMBER_1] and ask for [USERNAME_1]. You can also reach us at our [IP_1] location.",+347 570-994-6269,TEL,TEL,,,
515,515,"Hello Mr. Zboncak, your oncology treatment schedule has been updated. You can view it through https://discrete-expression.name/. For queries, call +553-534-728.7244.","Hello [PREFIX_1] [LASTNAME_1], your oncology treatment schedule has been updated. You can view it through [URL_1]. For queries, call [PHONENUMBER_1].",-709.7244,TEL,TEL,,,
516,516,"Training materials to be sent to the following address: Suite 526, 68919. Contact number: +292.485.720-5708. Confirm receipt through Tracy68@yahoo.com. Send billing statement to 4045647393599250. Training will be facilitated by Regional Interactions Administrator from Kemmer Inc.","Training materials to be sent to the following address: [SECONDARYADDRESS_1], [BUILDINGNUMBER_1]. Contact number: [PHONENUMBER_1]. Confirm receipt through [EMAIL_1]. Send billing statement to [CREDITCARDNUMBER_1]. Training will be facilitated by [JOBTITLE_1] from [COMPANYNAME_1].",+292.485.720-5708,TEL,TEL,,,
517,517,We are conducting a parent-teachers meeting on 2nd May to discuss their child's individual behavior and academic performance. Contact the parents of Finn15 via 021.947-9930 to confirm their presence.,We are conducting a parent-teachers meeting on [DATE_1] to discuss their child's individual behavior and academic performance. Contact the parents of [USERNAME_1] via [PHONENUMBER_1] to confirm their presence.,021.947-9930,TEL,TEL,,,
518,518,"Dear Don_Wiegand11, I believe our trauma counseling services could greatly benefit you. Please contact me at 06 49.34-36 78 or Akeem95@hotmail.com to discuss your options. Regards, Margarette","Dear [USERNAME_1], I believe our trauma counseling services could greatly benefit you. Please contact me at [PHONENUMBER_1] or [EMAIL_1] to discuss your options. Regards, [FIRSTNAME_1]",06 49.34-36 78,O,,,,
519,519,"Dear Coby, we found a few mismatches in your child?€?s provided information for the Special Ed. Program at Conn - Cummerata. Please call +433 895-419-5352 with reference to ID 16729731 for correction","Dear [FIRSTNAME_1], we found a few mismatches in your child?€?s provided information for the Special Ed. Program at [COMPANYNAME_1]. Please call [PHONENUMBER_1] with reference to ID [ACCOUNTNUMBER_1] for correction",+433 895-419-5352,TEL,TEL,,,
520,520,Just wanted to inform you that any queries about the change management process in our Tactics dept should be directed to Jameson Metz at +437 33.393-8516 or Kellie.Lang@gmail.com.,Just wanted to inform you that any queries about the change management process in our [JOBAREA_1] dept should be directed to [FIRSTNAME_1] [LASTNAME_1] at [PHONENUMBER_1] or [EMAIL_1].,+437 33.393-8516,O,,,,
521,521,"Mrs. Corkery I am looking forward to our session on May 27, 2017. In case you need to reach me beyond our session period, you can reach me on 09 6471.6418.","[PREFIX_1] [LASTNAME_1] I am looking forward to our session on [DATE_1]. In case you need to reach me beyond our session period, you can reach me on [PHONENUMBER_1].",09 6471.6418,O,,,,
522,522,Password resets are repetitive tasks that can be automated. We plan to implement this in phase one for users like 22033270. Consult 00244-61523 for queries.,Password resets are repetitive tasks that can be automated. We plan to implement this in phase one for users like [ACCOUNTNUMBER_1]. Consult [PHONENUMBER_1] for queries.,00244-61523,O,,,,
523,523,"As a valued client, you're qualified for our premium preventive medicine program. Could you update your personal information in our records? 4/02, Male and +189 43.618 3546?","As a valued client, you're qualified for our premium preventive medicine program. Could you update your personal information in our records? [DOB_1], [SEX_1] and [PHONENUMBER_1]?",+189 43.618 3546,O,,,,
