unmasked_text,masked_text,account_number,account_number_regex
Detailed student assessments analysis report related to account number 29644527 will be sent to parents and students by 1908-02-27T22:03:14.832Z.,Detailed student assessments analysis report related to account number [ACCOUNTNUMBER_1] will be sent to parents and students by [DATE_1].,29644527,True
"A Intersex person patient from 77970 filed a complaint against O'Hara for negligence during an emergency. Insurance account: Checking Account, number: 81653425. To resolve this, contact Mose Sasha Stroman at 039-9193612.","A [GENDER_1] patient from [ZIPCODE_1] filed a complaint against [LASTNAME_1] for negligence during an emergency. Insurance account: [ACCOUNTNAME_1], number: [ACCOUNTNUMBER_1]. To resolve this, contact [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_2] at [PHONENUMBER_1].",81653425,True
We received the payment of £ for the clinical trial from 10085798. The remittance details are clear.,We received the payment of [CURRENCYSYMBOL_1] for the clinical trial from [ACCOUNTNUMBER_1]. The remittance details are clear.,10085798,False
There's a real estate claim against the property at Mill Close 2912 under account 67176115. We require your immediate attention.,There's a real estate claim against the property at [STREET_1] [BUILDINGNUMBER_1] under account [ACCOUNTNUMBER_1]. We require your immediate attention.,67176115,True
How accurate is the 48 data point for participant 70780461?,How accurate is the [AGE_1] data point for participant [ACCOUNTNUMBER_1]?,70780461,False
Please proceed the $0.000b transaction for Savings Account using the account number 68570488. The payment is for therapy sessions for the individual of Male to female and 40 years old.,Please proceed the $[AMOUNT_1] transaction for [ACCOUNTNAME_1] using the account number [ACCOUNTNUMBER_1]. The payment is for therapy sessions for the individual of [GENDER_1] and [AGE_1].,68570488,True
Payment has been received through account 18188995. We'll meet on 2017-05-15T19:39:37.064Z. Our focus will be mindfulness in Marketing.,Payment has been received through account [ACCOUNTNUMBER_1]. We'll meet on [DATE_1]. Our focus will be mindfulness in [JOBAREA_1].,18188995,True
"Dear team, As a Customer Assurance Officer from County Londonderry, I'm interested in your interactive lesson plans for Mathematics. Connect me on 34777375.","Dear team, As a [JOBTITLE_1] from [COUNTY_1], I'm interested in your interactive lesson plans for Mathematics. Connect me on [ACCOUNTNUMBER_1].",34777375,False
"User 96023988, Ms. Wilkinson, is complying with our level of risk management?","User [ACCOUNTNUMBER_1], [PREFIX_1] [LASTNAME_1], is complying with our level of risk management?",96023988,False
Your login credentials for the Checking Account dashboard are: User: 72874180 | Password: Jwja3Ej_JNsi. You are accessing this from IP address 227.27.107.106. Please ensure the security of your account.,Your login credentials for the [ACCOUNTNAME_1] dashboard are: User: [ACCOUNTNUMBER_1] | Password: [PASSWORD_1]. You are accessing this from IP address [IPV4_1]. Please ensure the security of your account.,72874180,True
Suspicious security transaction was flagged in 42199499. It's tied to an unfamiliar IP address 198.147.213.100. Please validate your personal data 03/04/1932 and 756.4153.4317.,Suspicious security transaction was flagged in [ACCOUNTNUMBER_1]. It's tied to an unfamiliar IP address [IPV4_1]. Please validate your personal data [DOB_1] and [SSN_1].,42199499,False
"Reminder: Bailey, your next appointment with the Immigration Officer is scheduled for October 5, 1932 at 01:05. Kindly ensure to carry 75639565472, 65164983, and 0090179293308083 and reach office 918 Suite 745.","Reminder: [FIRSTNAME_1], your next appointment with the Immigration Officer is scheduled for [DATE_1] at [TIME_1]. Kindly ensure to carry [SSN_1], [ACCOUNTNUMBER_1], and [CREDITCARDNUMBER_1] and reach office [BUILDINGNUMBER_1] [SECONDARYADDRESS_1].",65164983,False
An amount of $305664.20 has been deducted for the psychoeducation course. Your transaction is confirmed. Account 49447836.,An amount of [CURRENCYSYMBOL_1][AMOUNT_1] has been deducted for the psychoeducation course. Your transaction is confirmed. Account [ACCOUNTNUMBER_1].,49447836,True
24782909 has been assigned for the anti-trust lawsuit against Kihn and Sons. Find case details on a7f8:b8dd:add1:26da:e0e7:9207:0ccf:e00e.,[ACCOUNTNUMBER_1] has been assigned for the anti-trust lawsuit against [COMPANYNAME_1]. Find case details on [IPV6_1].,24782909,False
Our school library fundraising event collected a total of $Tenge. The transaction has been recorded in account 86182199.,Our school library fundraising event collected a total of $[CURRENCY_1]. The transaction has been recorded in account [ACCOUNTNUMBER_1].,86182199,True
"Hello, this is Ettie46. I'm unable to access my test records online. My test 64158558 says service unavailable. Can someone help me?","Hello, this is [USERNAME_1]. I'm unable to access my test records online. My test [ACCOUNTNUMBER_1] says service unavailable. Can someone help me?",64158558,True
"I'd like to make a donation to the Nutrition Fund. Account name: Money Market Account, Account number: 56204738, BIC: WCMCBE3ZTTY and State: Louisiana.","I'd like to make a donation to the Nutrition Fund. Account name: [ACCOUNTNAME_1], Account number: [ACCOUNTNUMBER_1], BIC: [BIC_1] and State: [STATE_1].",56204738,True
"Compiling therapy session logs of Cathryn Upton on 20/08/1926. Session went efficiently, next scheduled for 1937-11-14T06:06:17.707Z. Payment of Lilangeni 429983.82 needs to be completed using Savings Account with account number 49845343.","Compiling therapy session logs of [FIRSTNAME_1] [LASTNAME_1] on [DATE_1]. Session went efficiently, next scheduled for [DATE_2]. Payment of [CURRENCY_1] [AMOUNT_1] needs to be completed using [ACCOUNTNAME_1] with account number [ACCOUNTNUMBER_1].",49845343,True
"The cost for the upcoming sessions is $0.0b. Payment should be made through account number 30815316 named under Checking Account. If experiencing difficulties, please contact our team using the number +02.669 882-9885.","The cost for the upcoming sessions is [CURRENCYSYMBOL_1][AMOUNT_1]. Payment should be made through account number [ACCOUNTNUMBER_1] named under [ACCOUNTNAME_1]. If experiencing difficulties, please contact our team using the number [PHONENUMBER_1].",30815316,True
"Hi Whitney, we noticed an attempt to transfer $554,871.06 from your account 01473922 to an ethereum address 0xac199a3f8ed17ee1b22affc9c951ec2fdaf6bc5b. Please confirm this transaction.","Hi [FIRSTNAME_1], we noticed an attempt to transfer [CURRENCYSYMBOL_1][AMOUNT_1] from your account [ACCOUNTNUMBER_1] to an ethereum address [ETHEREUMADDRESS_1]. Please confirm this transaction.",1473922,True
We noticed unusual activity on Home Loan Account with account number 82752852. We're unsure whether it's a security issue. Could you look into it and provide an update?,We noticed unusual activity on [ACCOUNTNAME_1] with account number [ACCOUNTNUMBER_1]. We're unsure whether it's a security issue. Could you look into it and provide an update?,82752852,True
"NOTE: Regarding the alimony payment decision of Genoveva Welch's case - the next payment due date is on October 13, 1925. The transaction will be made from bank account 11291637 with the amount 517k Iceland Krona.",NOTE: Regarding the alimony payment decision of [FIRSTNAME_1] [LASTNAME_1]'s case - the next payment due date is on [DATE_1]. The transaction will be made from bank account [ACCOUNTNUMBER_1] with the amount [AMOUNT_1] [CURRENCY_1].,11291637,True
"Upon completion of the psychometric tests, results will be made available on your personal account Checking Account with the account number 64072985.","Upon completion of the psychometric tests, results will be made available on your personal account [ACCOUNTNAME_1] with the account number [ACCOUNTNUMBER_1].",64072985,True
"Before our trip to Southwest, please make a payment of 778604.50 Manat to 63650947 using the BIC DIORSMSVXXX.","Before our trip to [ORDINALDIRECTION_1], please make a payment of [AMOUNT_1] [CURRENCY_1] to [ACCOUNTNUMBER_1] using the BIC [BIC_1].",63650947,False
On 17/02/1992 we have a meeting with the Carroll Group to discuss the financial projection of our new product. You can prepare the necessary documents using the Home Loan Account 98788015 and Malaysian Ringgit for all calculations.,On [DATE_1] we have a meeting with the [COMPANYNAME_1] to discuss the financial projection of our new product. You can prepare the necessary documents using the [ACCOUNTNAME_1] [ACCOUNTNUMBER_1] and [CURRENCY_1] for all calculations.,98788015,True
13. Please process payment of 817k to account 96841922 (BIC: XOLHCIYOFC1) for web services.,13. Please process payment of [AMOUNT_1] to account [ACCOUNTNUMBER_1] (BIC: [BIC_1]) for web services.,96841922,True
"Hi Prince, could you assist me in maths on 5th October at 22836 Apt. 690? I have an 27360537 for you. If necessary, reach me at 04-614960-262832-4.","Hi [FIRSTNAME_1], could you assist me in maths on [DOB_1] at [BUILDINGNUMBER_1] [SECONDARYADDRESS_1]? I have an [ACCOUNTNUMBER_1] for you. If necessary, reach me at [PHONEIMEI_1].",27360537,False
"We've successfully issued a payment receipt against your account no. 78786798, Karen. Your oral health is our top priority!","We've successfully issued a payment receipt against your account no. [ACCOUNTNUMBER_1], [FIRSTNAME_1]. Your oral health is our top priority!",78786798,True
"Your recently peer tutoring performance for Statstics has been analysied by the teacher Bryana. To view the feedback, refer to -49051710 on your online student account.","Your recently peer tutoring performance for Statstics has been analysied by the teacher [FIRSTNAME_1]. To view the feedback, refer to -[ACCOUNTNUMBER_1] on your online student account.",49051710,False
"Welcome Augustine, your child's remedial classes are scheduled in our Dyfed center. Please make sure to visit our website for daily assignments. Use 75355386 as your user ID and o02RlzmJB99O as your password.","Welcome [FIRSTNAME_1], your child's remedial classes are scheduled in our [COUNTY_1] center. Please make sure to visit our website for daily assignments. Use [ACCOUNTNUMBER_1] as your user ID and [PASSWORD_1] as your password.",75355386,False
Secured payment for trial resources. Account 88222005 credited with 749.074k Rands.,Secured payment for trial resources. Account [ACCOUNTNUMBER_1] credited with [AMOUNT_1] [CURRENCYNAME_1]s.,88222005,True
An account 77856874 registered at Fort Delphiastad was used to process a transaction through Bitcoin Address 1jnBYgdyrBf7Xi6K9keiwsF6iQVQKPy44PSg6. Is this a valid transaction?,An account [ACCOUNTNUMBER_1] registered at [CITY_1] was used to process a transaction through Bitcoin Address [BITCOINADDRESS_1]. Is this a valid transaction?,77856874,True
"As a Lead Division Liaison, I am forwarding a complaint about unauthorized transactions from tracking 199.156.148.25, to the Checking Account no. 58500819","As a [JOBTITLE_1], I am forwarding a complaint about unauthorized transactions from tracking [IPV4_1], to the [ACCOUNTNAME_1] no. [ACCOUNTNUMBER_1]",58500819,True
The continuity plan for Investment Account (account number 72176838) for the Texas location has been revised. Kindly update this in the system. The next check will be done after 17. All changes must be made prior.,The continuity plan for [ACCOUNTNAME_1] (account number [ACCOUNTNUMBER_1]) for the [STATE_1] location has been revised. Kindly update this in the system. The next check will be done after [TIME_1]. All changes must be made prior.,72176838,True
Could you mold a framework to prevent cyber attacks on Fribourg's Checking Account and account number 19358333?,Could you mold a framework to prevent cyber attacks on [STATE_1]'s [ACCOUNTNAME_1] and account number [ACCOUNTNUMBER_1]?,19358333,True
"I remember the time I had some financial issues and the fee payment became a problem. But Joshua helped me out, not disclosing my account number 09297434 or the last four digits of my card 3156237132029976 to anyone.","I remember the time I had some financial issues and the fee payment became a problem. But [FIRSTNAME_1] helped me out, not disclosing my account number [ACCOUNTNUMBER_1] or the last four digits of my card [MASKEDNUMBER_1] to anyone.",9297434,True
"I just visited https://cruel-diagram.net/, it's a sports betting site. It seems fishy and I suspect our client's Investment Account (30525331) details are vulnerable there.","I just visited [URL_1], it's a sports betting site. It seems fishy and I suspect our client's [ACCOUNTNAME_1] ([ACCOUNTNUMBER_1]) details are vulnerable there.",30525331,True
"Dear Skye, We are currently investigating an instance of possible academic dishonesty linked to the location [-83.0076,-143.0667]. The transaction was made at 10:31 on 2021-10-27T23:31:08.684Z from the account 02076092 in your name.","Dear [FIRSTNAME_1], We are currently investigating an instance of possible academic dishonesty linked to the location [NEARBYGPSCOORDINATE_1]. The transaction was made at [TIME_1] on [DATE_1] from the account [ACCOUNTNUMBER_1] in your name.",2076092,True
Illegal login from 239.41.227.90 into Savings Account number 67557658. Cyber law authority is taking action.,Illegal login from [IPV4_1] into [ACCOUNTNAME_1] number [ACCOUNTNUMBER_1]. Cyber law authority is taking action.,67557658,True
"Dear Sophia, a salary advance of R$703656 has been approved for you. It will be sent to your account number 79956744. Welcome aboard!","Dear [FIRSTNAME_1], a salary advance of [CURRENCYSYMBOL_1][AMOUNT_1] has been approved for you. It will be sent to your account number [ACCOUNTNUMBER_1]. Welcome aboard!",79956744,True
Attention needed from Forward Functionality FacilitatorAmelie! Our medical imaging software had a failed login attempt 208.5.20.39. Kindly ensure that your account Savings Account number 45945566 is secure.,Attention needed from [JOBTITLE_1][FIRSTNAME_1]! Our medical imaging software had a failed login attempt [IPV4_1]. Kindly ensure that your account [ACCOUNTNAME_1] number [ACCOUNTNUMBER_1] is secure.,45945566,True
"Mr. Gillian Towne outpatient procedure to be funded via her Checking Account account ending with 69031628, amount to be charged 306327 Tenge.","[PREFIX_1] [FIRSTNAME_1] [LASTNAME_1] outpatient procedure to be funded via her [ACCOUNTNAME_1] account ending with [ACCOUNTNUMBER_1], amount to be charged [AMOUNT_1] [CURRENCY_1].",69031628,True
"Hello. As part of our recent acquisitions, our Investment Account has significantly enlarged. I'd like you to review the total amount of Solomon Islands Dollar in Account Number 33256661.","Hello. As part of our recent acquisitions, our [ACCOUNTNAME_1] has significantly enlarged. I'd like you to review the total amount of [CURRENCY_1] in Account Number [ACCOUNTNUMBER_1].",33256661,True
I'm trying to reach Dr. Satterfield specializing in Hematology. Please find communication details on our website https://worthless-everyone.biz/. Use account number 59045337 for fees and other payments.,I'm trying to reach Dr. [LASTNAME_1] specializing in Hematology. Please find communication details on our website [URL_1]. Use account number [ACCOUNTNUMBER_1] for fees and other payments.,59045337,True
Send analysis report of the case with 75614538918 to 07911605 and charge to 7629923755684131.,Send analysis report of the case with [SSN_1] to [ACCOUNTNUMBER_1] and charge to [CREDITCARDNUMBER_1].,7911605,False
"Targeting Dibbertbury for a new project, please send me detailed statistics. Transfer 678613 CFA Franc BCEAO to the account 80110243. 1st June is the deadline for data collection.","Targeting [CITY_1] for a new project, please send me detailed statistics. Transfer [AMOUNT_1] [CURRENCYNAME_1] to the account [ACCOUNTNUMBER_1]. [DATE_1] is the deadline for data collection.",80110243,True
"Hi Judah, we noticed an irregular transaction from this digital wallet 12xjjq4Epaioy5cXdoVq7xe8yRiQhsAj2Tt2c to your account 52653006. Confirm your transaction.","Hi [FIRSTNAME_1], we noticed an irregular transaction from this digital wallet [BITCOINADDRESS_1] to your account [ACCOUNTNUMBER_1]. Confirm your transaction.",52653006,True
Make all payments for the trip to our account 52751457. Use your child's 756.7898.3933 as the reference.,Make all payments for the trip to our account [ACCOUNTNUMBER_1]. Use your child's [SSN_1] as the reference.,52751457,True
"I need you to verify the patent claims of the Brand. AnnamarieReilly, use your Checking Account (39607217) for online accesses.","I need you to verify the patent claims of the [JOBAREA_1]. [FIRSTNAME_1][LASTNAME_1], use your [ACCOUNTNAME_1] ([ACCOUNTNUMBER_1]) for online accesses.",39607217,True
"Regarding your recent securities transaction, we require the account details to be verified. Please provide 24367228 and Home Loan Account linked to your mastercard Card 3580310491309462. For your safety, your masked number is 1912878969110562.","Regarding your recent securities transaction, we require the account details to be verified. Please provide [ACCOUNTNUMBER_1] and [ACCOUNTNAME_1] linked to your [CREDITCARDISSUER_1] Card [CREDITCARDNUMBER_1]. For your safety, your masked number is [MASKEDNUMBER_1].",24367228,True
"Reminder: Pediatric visit for Drew is scheduled at 12. Please remember her medical history is under the account name Investment Account, number 98224475. Your IP 2e0c:0dce:2b63:cebe:d1d7:c086:2e39:ca3b will be recorded for this transaction.","Reminder: Pediatric visit for [MIDDLENAME_1] is scheduled at [TIME_1]. Please remember her medical history is under the account name [ACCOUNTNAME_1], number [ACCOUNTNUMBER_1]. Your IP [IPV6_1] will be recorded for this transaction.",98224475,True
An access login from ethereum address 0x6cee7d3ead4ad5dad6ce816afefd032b6d70c8c7 was noticed on account 32677397. The IP Address during this attempt was 8ceb:0e83:d3c1:fdfb:2ded:ebc2:6be2:eba3.,An access login from ethereum address [ETHEREUMADDRESS_1] was noticed on account [ACCOUNTNUMBER_1]. The IP Address during this attempt was [IP_1].,32677397,True
"Patient Kirsten has an appointment booked for January 31, 1921. They have remaining items in the account number: 22226229 and SSN: 75631404431. Please arrange payments. Call us at 0401-90410497 for more details.",Patient [FIRSTNAME_1] has an appointment booked for [DATE_1]. They have remaining items in the account number: [ACCOUNTNUMBER_1] and SSN: [SSN_1]. Please arrange payments. Call us at [PHONENUMBER_1] for more details.,22226229,True
"The anonymity of donors, whether providing 98111024 or 0xceb13fd0ea34fab2ad8fb0de5ffeefbd5fcecccf for anonymous donations, is an area of active debate in the field of medical ethics.","The anonymity of donors, whether providing [ACCOUNTNUMBER_1] or [ETHEREUMADDRESS_1] for anonymous donations, is an area of active debate in the field of medical ethics.",98111024,False
"Dear Dr. Schmeler, your application for educational funding, submitted on 2008-10-10T15:51:51.090Z, is under review. Please ensure Manat 946,100.95 is available in Savings Account 04167232, should additional documents be required.","Dear [PREFIX_1] [LASTNAME_1], your application for educational funding, submitted on [DATE_1], is under review. Please ensure [CURRENCY_1] [AMOUNT_1] is available in [ACCOUNTNAME_1] [ACCOUNTNUMBER_1], should additional documents be required.",4167232,True
"A new wellness workshop, specifically for Two-spirit person. Can provide valuable insight. Payments can be transferred via Auto Loan Account using the account number 56897533","A new wellness workshop, specifically for [GENDER_1]. Can provide valuable insight. Payments can be transferred via [ACCOUNTNAME_1] using the account number [ACCOUNTNUMBER_1]",56897533,True
"Dear Hershel.Pagac88, As part of our review of potential anti-competitive practices, we require your assistance regarding the Checking Account with the account number 44364815. Our internal auditing team will work with you for a complete review.","Dear [USERNAME_1], As part of our review of potential anti-competitive practices, we require your assistance regarding the [ACCOUNTNAME_1] with the account number [ACCOUNTNUMBER_1]. Our internal auditing team will work with you for a complete review.",44364815,True
"Last week's trial data erased due to glitch. Recover patient 58810641's data ASAP, we need it for today's conclave in Montana.","Last week's trial data erased due to glitch. Recover patient [ACCOUNTNUMBER_1]'s data ASAP, we need it for today's conclave in [STATE_1].",58810641,False
"We have a new delivery of medical imaging equipment scheduled to arrive at 9188, Carroll Field. All charges will be deducted from Auto Loan Account with account number 15835206.","We have a new delivery of medical imaging equipment scheduled to arrive at [BUILDINGNUMBER_1], [STREET_1]. All charges will be deducted from [ACCOUNTNAME_1] with account number [ACCOUNTNUMBER_1].",15835206,True
"Kindly provide account 91825277 with all the necessary legally mandated protocols on part of company O'Conner, Franey and Schuster.",Kindly provide account [ACCOUNTNUMBER_1] with all the necessary legally mandated protocols on part of company [COMPANYNAME_1].,91825277,True
"Dear Participant, According to our records, the $540382.28 has been transferred to your account number 88101037 for your contribution to our clinical trials.","Dear Participant, According to our records, the [CURRENCYSYMBOL_1][AMOUNT_1] has been transferred to your account number [ACCOUNTNUMBER_1] for your contribution to our clinical trials.",88101037,True
"Hello Albin, the account, Savings Account with number: 49941317, has issues with the most recent payment. Kindly get back to us at 04861-69141.","Hello [FIRSTNAME_1], the account, [ACCOUNTNAME_1] with number: [ACCOUNTNUMBER_1], has issues with the most recent payment. Kindly get back to us at [PHONENUMBER_1].",49941317,True
"Cross-verify our production expenses made on the 17th April. For payments made through card, transaction details are under issuer Jamison_DAmore57 with card number 42235040.","Cross-verify our production expenses made on the [DATE_1]. For payments made through card, transaction details are under issuer [USERNAME_1] with card number [ACCOUNTNUMBER_1].",42235040,False
Global Education Board has approved 69186371 for receiving funds. Transfers can be made through Bitcoin or Ethereum at addresses 1AKWn618fP2TTfo8gGHq6wZAuhwtf5jbT9k and 0x9d9e7f5aab1dba6e1f26ddcfc84b0bf9dd31edc2. Please confirm receipt.,Global Education Board has approved [ACCOUNTNUMBER_1] for receiving funds. Transfers can be made through Bitcoin or Ethereum at addresses [BITCOINADDRESS_1] and [ETHEREUMADDRESS_1]. Please confirm receipt.,69186371,False
"Hello, I noticed that my Auto Loan Account number 80147863 has a balance discrepancy. It shows a different currency Lari instead of PLN. Could you please look into this issue for me?","Hello, I noticed that my [ACCOUNTNAME_1] number [ACCOUNTNUMBER_1] has a balance discrepancy. It shows a different currency [CURRENCY_1] instead of [CURRENCYCODE_1]. Could you please look into this issue for me?",80147863,True
"Recent purchase notification: Miss Wintheiser, $535377 were debited from your account 88721040 on 7/17 for medical purchase.","Recent purchase notification: [PREFIX_1] [LASTNAME_1], [CURRENCYSYMBOL_1][AMOUNT_1] were debited from your account [ACCOUNTNUMBER_1] on [DATE_1] for medical purchase.",88721040,True
"Dear Carter, in view of your expertise in child and adolescent mental health, we request an article on resilience and protective factors in youth. Your account number 14563324 and associated funds should cover the necessary research materials.","Dear [LASTNAME_1], in view of your expertise in child and adolescent mental health, we request an article on resilience and protective factors in youth. Your account number [ACCOUNTNUMBER_1] and associated funds should cover the necessary research materials.",14563324,True
"During our 1963-06-14T20:55:11.311Z, Isabell Bauch stated that our Auto Loan Account with account number 02442778 was under review.","During our [DATE_1], [FIRSTNAME_1] [LASTNAME_1] stated that our [ACCOUNTNAME_1] with account number [ACCOUNTNUMBER_1] was under review.",2442778,True
"Hello, this is the school financial aid department. We are processing the scholarships for the upcoming semester. We noticed that there was an issue with your bank information. Could you please re-send your account 18006492 and ERQMMOYKXXX details?","Hello, this is the school financial aid department. We are processing the scholarships for the upcoming semester. We noticed that there was an issue with your bank information. Could you please re-send your account [ACCOUNTNUMBER_1] and [BIC_1] details?",18006492,True
"We have noted unauthorized account activity on our Auto Loan Account account number 74088938. Since a large fine was related to recent changes in Health Care Law, we need your expertise to resolve this issue.","We have noted unauthorized account activity on our [ACCOUNTNAME_1] account number [ACCOUNTNUMBER_1]. Since a large fine was related to recent changes in Health Care Law, we need your expertise to resolve this issue.",74088938,True
"Dear Ms. Sipes, we've scheduled your next appointment for 19/07/1930. Please bring your insurance details, including your Auto Loan Account number 47539760.","Dear [PREFIX_1] [LASTNAME_1], we've scheduled your next appointment for [DATE_1]. Please bring your insurance details, including your [ACCOUNTNAME_1] number [ACCOUNTNUMBER_1].",47539760,True
"There is a mismatch in the assessment data from accounts 01754563, 64004110 and 89827292. We are currently investigating these discrepancies.","There is a mismatch in the assessment data from accounts [ACCOUNTNUMBER_1], [ACCOUNTNUMBER_2] and [ACCOUNTNUMBER_3]. We are currently investigating these discrepancies.",1754563,True
Can you confirm the Architect position associated with 11343444?,Can you confirm the [JOBTYPE_1] position associated with [ACCOUNTNUMBER_1]?,11343444,False
"Account:43410039 - Ticino life insurance claims soared. Single user Monique30 suspected. Female 96 visited website using Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_5)  AppleWebKit/538.2.1 (KHTML, like Gecko) Chrome/27.0.801.0 Safari/538.2.1. Unsettled claim total: Lilangeni0.9m",Account:[ACCOUNTNUMBER_1] - [STATE_1] life insurance claims soared. Single user [USERNAME_1] suspected. [SEX_1] [AGE_1] visited website using [USERAGENT_1]. Unsettled claim total: [CURRENCY_1][AMOUNT_1],43410039,True
"Hello Nora, your subscription ends 03/10/2020. We need to discuss your performance improvement plan, and renew subscription. Also, please ensure balance in Checking Account 26814598 for renewal process.","Hello [FIRSTNAME_1], your subscription ends [DATE_1]. We need to discuss your performance improvement plan, and renew subscription. Also, please ensure balance in [ACCOUNTNAME_1] [ACCOUNTNUMBER_1] for renewal process.",26814598,True
We've recorded a transaction from Money Market Account (26619596) processed by Arden Wolf to purchase medical devices.,We've recorded a transaction from [ACCOUNTNAME_1] ([ACCOUNTNUMBER_1]) processed by [FIRSTNAME_1] [LASTNAME_1] to purchase medical devices.,26619596,True
