unmasked_text,masked_text,privacy_mask
"For the upcoming camping trip, we will be setting up our camp at Northwest and exploring trails nearby. A detailed itinerary will be shared soon on the school website. Contact us for any queries at 5355.922 8426.","For the upcoming camping trip, we will be setting up our camp at [ORDINALDIRECTION_1] and exploring trails nearby. A detailed itinerary will be shared soon on the school website. Contact us for any queries at [PHONENUMBER_1].","{'[ORDINALDIRECTION_1]': 'Northwest', '[PHONENUMBER_1]': '5355.922 8426'}"
"Rosalia.Carroll34, your online training on Individualized Education Programs (IEPs) starts at 18:57. Use this link: https://acrobatic-contrast.info. Any issues, call us on (934)-9649598.","[USERNAME_1], your online training [ORGANIZATION_1] starts at [TIME_1]. Use this link: [URL_1]. Any issues, call us on [PHONENUMBER_1].","{'[USERNAME_1]': 'Rosalia.Carroll34', '[ORGANIZATION_1]': 'on Individualized Education Programs (IEPs)', '[TIME_1]': '18:57', '[URL_1]': 'https://acrobatic-contrast.info', '[PHONENUMBER_1]': '(934)-9649598'}"
"Transfer funds for Alvera's meal plan. Send Tugrik $ to PK19EANX8800109608050723. For assistance, call us on 023-5980057 with the device having Opera/13.26 (Macintosh; Intel Mac OS X 10.7.2 U; MY Presto/2.9.160 Version/11.00).","Transfer funds for [FIRSTNAME_1]'s meal plan. Send [CURRENCY_1] [CURRENCYSYMBOL_1] to [IBAN_1]. For assistance, call us on [PHONENUMBER_1] with the device having [USERAGENT_1].","{'[FIRSTNAME_1]': 'Alvera', '[CURRENCY_1]': '', '[CURRENCYSYMBOL_1]': 'Tugrik $', '[IBAN_1]': 'PK19EANX8800109608050723', '[PHONENUMBER_1]': '023-5980057', '[USERAGENT_1]': 'Opera/13.26 (Macintosh; Intel Mac OS X 10.7.2 U; MY Presto/2.9.160 Version/11.00)'}"
"Dear, Mr. Boehm. Please make note of Ethelyn11 misbehaviour in today's class. We have to notify the parent with this contact number (26).6842-1909 about the situation. Also, remember to keep the conversation observational and objective.","Dear, [PREFIX_1] [LASTNAME_1]. Please make note of [USERNAME_1] misbehaviour in today's class. We have to notify the parent with this contact number [PHONENUMBER_1] about the situation. Also, remember to keep the conversation observational and objective.","{'[PREFIX_1]': 'Mr', '[LASTNAME_1]': 'Boehm', '[USERNAME_1]': 'Ethelyn11', '[PHONENUMBER_1]': '(26).6842-1909'}"
"Hi Mrs. Larson, we are glad to inform you about an upcoming group session on Humanistic Therapy, taking place on 02/11/1954 in Fort Tommie. We hope to see you there. Reach out to us at Dayna.Turner@hotmail.com or through 05808.326654 for further details.","Hi [PREFIX_1] [LASTNAME_1], we are glad to inform you about an upcoming group session on [MEDICAL_1], taking place on [DATE_1] in [CITY_1]. We hope to see you there. Reach out to us at [EMAIL_1] or through [PHONENUMBER_1] for further details.","{'[PREFIX_1]': 'Mrs', '[LASTNAME_1]': 'Larson', '[MEDICAL_1]': 'Humanistic Therapy', '[DATE_1]': '02/11/1954', '[CITY_1]': 'Fort Tommie', '[EMAIL_1]': 'Dayna.Turner@hotmail.com', '[PHONENUMBER_1]': '05808.326654'}"
"Legal representation granted to Elena Windler, injured on 19/01/2016. Claims lodged against the driver of the vehicle BN50ODN. Reach out at 018-016.1726 or email at Jerad.Kiehn@gmail.com for further queries.","Legal representation granted to [FIRSTNAME_1] [LASTNAME_1], injured on [DATE_1]. Claims lodged against the driver of the vehicle [VEHICLEVRM_1]. Reach out at [PHONENUMBER_1] or email at [EMAIL_1] for further queries.","{'[FIRSTNAME_1]': '', '[LASTNAME_1]': 'Elena Windler', '[DATE_1]': '19/01/2016', '[VEHICLEVRM_1]': 'BN50ODN', '[PHONENUMBER_1]': '018-016.1726', '[EMAIL_1]': 'Jerad.Kiehn@gmail.com'}"
"""Hello Ruthie, please provide the school with your students' emergency contact 07 7871.9803 and an additional Suite 866 by next week.""","""Hello [FIRSTNAME_1], please provide the school with your students' emergency contact [PHONENUMBER_1] and an additional [BUILDINGNUMBER_1] by next week.""","{'[FIRSTNAME_1]': 'Ruthie', '[PHONENUMBER_1]': '07 7871.9803', '[BUILDINGNUMBER_1]': 'Suite 866'}"
Injured at work on 14/06/1923. Due to supervisor's negligence at Ritchie - Lindgren. Contact 038.1404-6298.,Injured at work on [DATE_1]. Due to supervisor's negligence at [COMPANYNAME_1]. Contact [PHONENUMBER_1].,"{'[DATE_1]': '14/06/1923', '[COMPANYNAME_1]': 'Ritchie - Lindgren', '[PHONENUMBER_1]': '038.1404-6298'}"
"During recent research on cognitive behaviour, we've been using a server at af6e:3e38:bdc3:aba5:f637:fd7c:a69a:a74a within Roystad county to access data. Patient Gwen Riley Marvin took part in the study. For further details, please contact the assigned Manager on 04-0425 4543.","During recent research on cognitive behaviour, we've been using a server at [IPV6_1] within [COUNTY_1] to access data. Patient [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] took part in the study. For further details, please contact the assigned [JOBTYPE_1] on [PHONENUMBER_1].","{'[IPV6_1]': 'af6e:3e38:bdc3:aba5:f637:fd7c:a69a:a74a', '[COUNTY_1]': 'Roystad county', '[FIRSTNAME_1]': 'Gwen', '[MIDDLENAME_1]': 'Riley', '[LASTNAME_1]': 'Marvin', '[JOBTYPE_1]': 'Manager', '[PHONENUMBER_1]': '04-0425 4543'}"
"Shakira, the requested policy has been processed for Tanzanian Shilling 891461.62. You will receive an original hard copy at your address 29220, Arch Mill, West Ayla, 65556-3174 within 7 business days. You can reach out to us at 041.7559.9970.","[FIRSTNAME_1], the requested policy has been processed for [CURRENCY_1] [AMOUNT_1]. You will receive an original hard copy at your address [BUILDINGNUMBER_1], [STREET_1], [CITY_1], [ZIPCODE_1] within 7 business days. You can reach out to us at [PHONENUMBER_1].","{'[FIRSTNAME_1]': 'Shakira', '[CURRENCY_1]': 'Tanzanian Shilling', '[AMOUNT_1]': '891461.62', '[BUILDINGNUMBER_1]': ''29220', '[STREET_1]': 'Arch Mill', '[CITY_1]': 'West Ayla', '[ZIPCODE_1]': '65556-3174', '[PHONENUMBER_1]': '041.7559.9970'}"
"Hi Precious, there's a literacy program at the community center in East Mae. Contact 5696 854 6460 for details.","Hi [FIRSTNAME_1], there's a literacy program at the community center in [CITY_1]. Contact [PHONENUMBER_1] for details.","{'[FIRSTNAME_1]': 'Precious', '[CITY_1]': 'East Mae', '[PHONENUMBER_1]': '5696 854 6460'}"
"Dear parents, we're introducing a new behavior management platform. Please register using Apt. 841 and secure it with j3L3lduDT0_g. Direct any queries to 001.5487348.","Dear parents, we're introducing a new behavior management platform. Please register using [BUILDINGNUMBER_1] and secure it with [PASSWORD_1]. Direct any queries to [PHONENUMBER_1].","{'[BUILDINGNUMBER_1]': 'Apt. 841', '[PASSWORD_1]': 'j3L3lduDT0_g', '[PHONENUMBER_1]': '001.5487348'}"
"Mrs. Hoeger, we are trying to organize some special extracurricular activities for the students. Your guidance is much needed! Please call me at 003.1797-7405 to discuss further.","[PREFIX_1] [LASTNAME_1], we are trying to organize some special extracurricular activities for the students. Your guidance is much needed! Please call me at [PHONENUMBER_1] to discuss further.","{'[PREFIX_1]': '', '[LASTNAME_1]': 'Mrs. Hoeger', '[PHONENUMBER_1]': '003.1797-7405'}"
Payment of CFA Franc BCEAO via GR230087027709667Y64P6O23F6 for new device. Check with 01 33 69 05.35 for verification.,Payment of [CURRENCY_1] via [IBAN_1] for new device. Check with [PHONENUMBER_1] for verification.,"{'[CURRENCY_1]': 'CFA Franc BCEAO', '[IBAN_1]': 'GR230087027709667Y64P6O23F6', '[PHONENUMBER_1]': '01 33 69 05.35'}"
"I am Ms. Kaylin Brooklyn Mosciski from Langosh, Herman and McGlynn's Implementation department, and I am looking for ways to contribute to your Social Responsibility Program. You may reach out to me at 0661.274.7933 for further discussion.","I am [PREFIX_1] [FIRSTNAME_1] [MIDDLENAME_1] [LASTNAME_1] from [COMPANYNAME_1]'s [JOBAREA_1] department, and I am looking for ways to contribute to your Social Responsibility Program. You may reach out to me at [PHONENUMBER_1] for further discussion.","{'[PREFIX_1]': 'Ms', '[FIRSTNAME_1]': 'Kaylin', '[MIDDLENAME_1]': 'Brooklyn', '[LASTNAME_1]': 'Mosciski', '[COMPANYNAME_1]': 'Langosh, Herman and McGlynn', '[JOBAREA_1]': 'Implementation', '[PHONENUMBER_1]': '0661.274.7933'}"
"To monitor your child's online class attendance and behavior reports, login to our parent portal at Apt. 201 using KMC0Ck66u4xE. If assistance is needed, call us at (006) 3185072.","To monitor your child's online class attendance and behavior reports, login to our parent portal at [BUILDINGNUMBER_1] using [PASSWORD_1]. If assistance is needed, call us at [PHONENUMBER_1].","{'[BUILDINGNUMBER_1]': 'Apt. 201', '[PASSWORD_1]': 'KMC0Ck66u4xE', '[PHONENUMBER_1]': '(006) 3185072'}"
"Makenna, you might want to take a look at the latest accessibility report from our Strategist. It contains crucial data on the health outcomes of people in our care. Call them at (82)-0209.5525.","[FIRSTNAME_1], you might want to take a look at the latest accessibility report from our [JOBTITLE_1]. It contains crucial data on the health outcomes of people in our care. Call them at [PHONENUMBER_1].","{'[FIRSTNAME_1]': 'Makenna', '[JOBTITLE_1]': 'Strategist', '[PHONENUMBER_1]': '(82)-0209.5525'}"
"Parents of athletes in our school, residing in 79421-0032, please join us for a meeting to discuss our athletic program upgrades. RSVP at 084 154.5361. Let's shape the future together!","Parents of athletes in our school, residing in [ZIPCODE_1], please join us for a meeting to discuss our athletic program upgrades. RSVP at [PHONENUMBER_1]. Let's shape the future together!","{'[ZIPCODE_1]': '79421-0032', '[PHONENUMBER_1]': ""084 154.5361""}"
"Participants are needed for a study in psycho-oncology. We are looking for individuals of 89 years years and above of any gender. Are you interested in participating? If so, contact us at https://pristine-garlic.net or +12.110 580.4746.","Participants are needed for a study in psycho-oncology. We are looking for individuals of [AGE_1] years and above of any gender. Are you interested in participating? If so, contact us at [URL_1] or [PHONENUMBER_1].","{'[AGE_1]': '89 years', '[URL_1]': 'https://pristine-garlic.net', '[PHONENUMBER_1]': '+12.110 580.4746'}"
"For prompt service for any technology support within Borders, please dial 03 05.69.21-46 and provide them the eb:97:3e:c9:32:c1.","For prompt service for any technology support within [COUNTY_1], please dial [PHONENUMBER_1] and provide them the [MAC_1].","{'[COUNTY_1]': 'Borders', '[PHONENUMBER_1]': '03 05.69.21-46', '[MAC_1]': 'eb:97:3e:c9:32:c1'}"
"In line with new tax laws, transactions from your account Personal Loan Account (number 99239538) must be reviewed. Need your password l7GUD1mvUzTg to proceed. Call me at 0907-34254272.","In line with new tax laws, transactions from your account [ACCOUNTNAME_1] (number [ACCOUNTNUMBER_1]) must be reviewed. Need your password [PASSWORD_1] to proceed. Call me at [PHONENUMBER_1].","{'[ACCOUNTNAME_1]': 'Personal Loan Account', '[ACCOUNTNUMBER_1]': '99239538', '[PASSWORD_1]': 'l7GUD1mvUzTg', '[PHONENUMBER_1]': '0907-34254272'}"
Can I contact T* woman to gather more background information? 00744.496126 is it right?,Can I contact [GENDER_1] to gather more background information? [PHONENUMBER_1] is it right?,"{'[GENDER_1]': 'T* woman', '[PHONENUMBER_1]': '00744.496126'}"
"Ms. Mills, your oncology treatment payments have been charged to Savings Account. If there is any discrepancy, kindly contact us on 07-03-39-19.17.","[PREFIX_1] [LASTNAME_1], your [MEDICAL_1] payments have been charged to [ACCOUNTNAME_1]. If there is any discrepancy, kindly contact us on [PHONENUMBER_1].","{'[PREFIX_1]': 'Ms', '[LASTNAME_1]': 'Mills', '[MEDICAL_1]': 'oncology treatment', '[ACCOUNTNAME_1]': 'Savings Account', '[PHONENUMBER_1]': '07-03-39-19.17'}"
"Our next target region for enhancing health access is Occitanie. Prospects like Mr. Huel, from South Nico. She works as a Chief Markets Architect and can be reached via (30) 4999 3389, or Lily_Casper@gmail.com. Her feedback is crucial.","Our next target region for enhancing health access is [STATE_1]. Prospects like [PREFIX_1] [LASTNAME_1], from [CITY_1]. She works as a [JOBTITLE_1] and can be reached via [PHONENUMBER_1], or [EMAIL_1]. Her feedback is crucial.","{'[STATE_1]': 'Occitanie', '[PREFIX_1]': 'Mr', '[LASTNAME_1]': 'Huel', '[CITY_1]': 'South Nico', '[JOBTITLE_1]': 'Chief Markets Architect', '[PHONENUMBER_1]': '(30) 4999 3389', '[EMAIL_1]': 'Lily_Casper@gmail.com'}"
I am writing to confirm intellectual property rights for products designed under my role as Specialist. Contact number for clarification 09377.874267. Revert at your earliest convenience.,I am writing to confirm intellectual property rights for products designed under my role as [JOBTITLE_1]. Contact number for clarification [PHONENUMBER_1]. Revert at your earliest convenience.,"{'[JOBTITLE_1]': 'Specialist', '[PHONENUMBER_1]': '09377.874267'}"
Please contact Mrs. Taylor regarding the payment status of entrepreneurial venture https://lanky-proof-reader.com. Use the provided contact - Phone +803 18.265.0515 and make sure you check the payment in 26523946 of bank WQUNZAWS.,Please contact [PREFIX_1] [MIDDLENAME_1] regarding the payment status of entrepreneurial venture [URL_1]. Use the provided contact - Phone [PHONENUMBER_1] and make sure you check the payment in [ACCOUNTNUMBER_1] of bank [BIC_1].,"{'[PREFIX_1]': 'Mrs', '[MIDDLENAME_1]': 'Taylor', '[URL_1]': 'https://lanky-proof-reader.com', '[PHONENUMBER_1]': '+803 18.265.0515', '[ACCOUNTNUMBER_1]': '26523946', '[BIC_1]': 'WQUNZAWS'}"
"The maternal and child health program, for residents of 29272, aims to bring tailored healthcare in the 4234 complex, Apt. 134. Please, call our nurses at +21 612.709-2117 to schedule a visit.","The maternal and child health program, for residents of [ZIPCODE_1], aims to bring tailored healthcare in the [BUILDINGNUMBER_1] complex, [BUILDINGNUMBER_1]. Please, call our nurses at [PHONENUMBER_1] to schedule a visit.","{'[ZIPCODE_1]': '29272', '[BUILDINGNUMBER_1]': 'Apt. 134', '[PHONENUMBER_1]': '+21 612.709-2117'}"
"Regarding Mathematics Education policy changes, send your suggestion to 021 2364581 using device with MAC address 56:27:58:6d:e5:bf.","Regarding Mathematics Education policy changes, send your suggestion to [PHONENUMBER_1] using device with MAC address [MAC_1].","{'[PHONENUMBER_1]': '021 2364581', '[MAC_1]': '56:27:58:6d:e5:bf'}"
"Our latest social responsibility project kicks off in Ornchester next month. Would you be available for a discussion about this, Skiles? You can reach me at 03 13.97 41.84.","Our latest social responsibility project kicks off in [CITY_1] next month. Would you be available for a discussion about this, [LASTNAME_1]? You can reach me at [PHONENUMBER_1].","{'[CITY_1]': 'Ornchester', '[LASTNAME_1]': 'Skiles', '[PHONENUMBER_1]': '03 13.97 41.84'}"
"Hello Jefferey! Your therapist has shared some useful materials for your home practice. Check these resources at https://corny-jewellery.com. If you need technical assistance, reach us either by email at Jace28@gmail.com or by phone +21.031-012 7767.","Hello [FIRSTNAME_1]! Your therapist has shared some useful materials for your home practice. Check these resources at [URL_1]. If you need technical assistance, reach us either by email at [EMAIL_1] or by phone [PHONENUMBER_1].","{'[FIRSTNAME_1]': 'Jefferey!', '[URL_1]': 'https://corny-jewellery.com', '[EMAIL_1]': 'Jace28@gmail.com', '[PHONENUMBER_1]': '+21.031-012 7767'}"
We require a Central Quality Administrator talented in Infrastructure to take our school's early education framework to the next level. Contact us at 08.92 48-62-60.,We require a [JOBTITLE_1] talented in [JOBAREA_1] to take our school's early education framework to the next level. Contact us at [PHONENUMBER_1].,"{'[JOBTITLE_1]': 'Central Quality Administrator', '[JOBAREA_1]': 'Infrastructure', '[PHONENUMBER_1]': '08.92 48-62-60'}"
Patient with ID 9617168310368776 has been admitted. Primary contact 051 2629 3374. Scheduled checkup with Dr Otha Bechtelar on 1940-03-26T19:34:40.476Z at 14.,Patient with ID [MASKEDNUMBER_1] has been admitted. Primary contact [PHONENUMBER_1]. Scheduled checkup with Dr [FIRSTNAME_1] [LASTNAME_1] on [DATE_1] at [TIME_1].,"{'[MASKEDNUMBER_1]': '9617168310368776', '[PHONENUMBER_1]': '051 2629 3374', '[FIRSTNAME_1]': '', '[LASTNAME_1]': 'Otha Bechtelar', '[DATE_1]': '1940-03-26T19:34:40.476Z', '[TIME_1]': '14'}"
We've a new case pending. A vessel with VIN B8M70H586PH828144 has allegedly sailed into restricted waters off the Adams County coast. Please contact us at 03 80-19-59-23 for more information.,We've a new case pending. A vessel with VIN [VEHICLEVIN_1] has allegedly sailed into restricted waters off the [COUNTY_1] coast. Please contact us at [PHONENUMBER_1] for more information.,"{'[VEHICLEVIN_1]': 'B8M70H586PH828144', '[COUNTY_1]': 'Adams County', '[PHONENUMBER_1]': '03 80-19-59-23'}"
I am a Consultant living in Umbria. Can I book a session before my shift at 1:52 AM? My contact number is 000-6531891.,I am a [JOBTITLE_1] living in [STATE_1]. Can I book a session before my shift at [TIME_1]? My contact number is [PHONENUMBER_1].,"{'[JOBTITLE_1]': 'Consultant', '[STATE_1]': 'Umbria', '[TIME_1]': '1:52 AM', '[PHONENUMBER_1]': '000-6531891'}"
"Dear Jayce, Can we discuss the stakeholder strategy document? Call me at 034-9559-5356 today.","Dear [FIRSTNAME_1], Can we discuss the stakeholder strategy document? Call me at [PHONENUMBER_1] today.","{'[FIRSTNAME_1]': 'Jayce', '[PHONENUMBER_1]': '034-9559-5356'}"
"(383)-3599193 franchise, detected sign-ins from unregistered 2e08:8ec9:bf5c:9ab4:a6c3:a5d5:bfda:3d8a. Please reset credentials immediately and inform the regional Mid Glamorgan management.","[PHONENUMBER_1] franchise, detected sign-ins from unregistered [IPV6_1]. Please reset credentials immediately and inform the regional [COUNTY_1] management.","{'[PHONENUMBER_1]': '(383)-3599193', '[IPV6_1]': '2e08:8ec9:bf5c:9ab4:a6c3:a5d5:bfda:3d8a', '[COUNTY_1]': 'Mid Glamorgan'}"
Accepted your request to transfer funds to account DK6505873904130084 with swift code SRHEBTKU. Funds will be available by tonight. Reach out at +695 662-265 6989 for queries.,Accepted your request to transfer funds to account [IBAN_1] with swift code [BIC_1]. Funds will be available by tonight. Reach out at [PHONENUMBER_1] for queries.,"{'[IBAN_1]': 'DK6505873904130084', '[BIC_1]': 'SRHEBTKU', '[PHONENUMBER_1]': '+695 662-265 6989'}"
